fw_name,species,metabolic_type,bodymass,abundance,biomass
off-bankline revetment,Anabolia furcata/nervosa,ectotherm invertebrate,2.110815838,24.73367091,52.2082243
off-bankline revetment,Ancylus fluviatilis,ectotherm invertebrate,0.802169101,234.6554985,188.2333903
off-bankline revetment,Baetis sp.,ectotherm invertebrate,0.695207799,8.299636364,5.769971932
off-bankline revetment,Calopteryx splendens,ectotherm invertebrate,14.86769166,8.3328,123.8895011
off-bankline revetment,Chelicorophium curvispinum,ectotherm invertebrate,0.221691119,5738.310076,1272.13238
off-bankline revetment,Chironominae Gen. sp.,ectotherm invertebrate,0.102713004,121346.2431,12463.83713
off-bankline revetment,Cloeon dipterum,ectotherm invertebrate,0.107727386,456.5626227,49.18429794
off-bankline revetment,Coenagrion sp.,ectotherm invertebrate,1.678153227,307.1356324,515.4206527
off-bankline revetment,Dikerogammarus villosus,ectotherm invertebrate,2.730082776,4499.351595,12283.60229
off-bankline revetment,Erpobdella octoculata,ectotherm invertebrate,5.801186911,5.952,34.5286645
off-bankline revetment,Heptagenia sulphurea,ectotherm invertebrate,0.253676717,17.94676593,4.552676662
off-bankline revetment,Hydropsyche bulgaromanorum,ectotherm invertebrate,0.253676717,17.94676593,4.552676662
off-bankline revetment,Hydropsyche contubernalis,ectotherm invertebrate,0.058291871,871.6541716,50.81035249
off-bankline revetment,Jaera istri,ectotherm invertebrate,0.207328052,2.190129664,0.454075316
off-bankline revetment,Oligochaeta Gen. sp.,ectotherm invertebrate,0.054132658,175125.8917,9480.030044
off-bankline revetment,Ophiogomphus cecilia,ectotherm invertebrate,1.59538321,16.384,26.13875851
off-bankline revetment,Orthocladiinae Gen. sp.,ectotherm invertebrate,0.042048575,21802.62148,916.7691639
off-bankline revetment,Physidae Gen. sp.,ectotherm invertebrate,1.930549449,2072.722819,4001.493896
off-bankline revetment,Potamanthus luteus,ectotherm invertebrate,0.378618014,0.160944206,0.060936376
off-bankline revetment,Potamopyrgus antipodarum,ectotherm invertebrate,1.174511323,26028.54325,30570.81876
off-bankline revetment,Radix balthica,ectotherm invertebrate,20.10807684,951.9367663,19141.61764
off-bankline revetment,Simuliidae Gen. sp.,ectotherm invertebrate,0.052177795,246.924189,12.88395982
off-bankline revetment,Sphaerium corneum,ectotherm invertebrate,7.380410788,476.3297165,3515.508979
off-bankline revetment,Tanypodinae Gen. sp.,ectotherm invertebrate,0.148293713,1069.238679,158.5613735
off-bankline revetment,Biofilm,plant,,,201
off-bankline revetment,BOM,detritus,,,1354
off-bankline revetment,Phytoplankton,plant,,,2.30E+08
off-bankline revetment,t-POM,detritus,,,1151
