"Chrysomelidae_sp_L","Curculionidae_sp_L","Cecidomyiidae_sp","Parepidosis_sp","Ditylenchus","Helicotylenchus","Neotylenchus","Pratylenchus","Tylenchus","Thripidae_sp","Thysanoptera_sp","Centromerus_brevipalpus","Gnaphosidae_sp_juvenile","Hahnia_pusilla","Hahnia_sp","Linyphiidae_sp_juvenile","Porrhomma_pallidum","Robertus_sp","Tapinocyba_pallens","Tmeticus_affinis","Trochosa_sp","Walckenaeria_dysderoides","Lithobius_curtipes","Lithobius_sp","Ampedus_balteatus_L","Athous_subfuscus_L","Cantharidae_sp_L","Carabidae_sp_L","Ctenicera_pectinicornis_L","Elateridae_L","Staphylinidae_sp_I","Staphylinidae_sp_L","Empididae_sp","Diplogaster","Blattellidae_sp","Lathridiidae_sp_I","Allacma_fusca","Arrhopalites_juvenile","Arrhopalites_principalis","Desoria_hiemalis","Entomobrya_corticalis","Entomobrya_nivalis","Folsomia_juvenile_3","Folsomia_microchaeta","Folsomia_quadrioculata","Friesea_claviseta","Isotoma_juvenile","Isotomiella_minor","Lepidocyrtus_juvenile","Mesaphorura_juvenile","Mesaphorura_krausbaueri","Mesaphorura_tenuisensillata","Mesaphorura_undefined","Mesaphorura_yossii","Micranurida_granulata","Micranurida_pygmaea","Micraphorura_absoloni","Orchesella_flavescens","Parisotoma_notabilis","Pogognathellus_flavescens","Pseudachorutes_juvenile","Pseudanurophorus_binoculatus","Ptenothrix_atra","Sphaeridia_pumilis","Willemia_anophthalma","Bryodrilus","Cognettia","Aphelenchoides","Aphelenchus","Cephalobus","Eudorylaimus","Panagrolaimus","Plectus","Rhabditis","Assulina_muscorum","C_eurystoma_v_parvula","Centropyxis","Corythion_dubium","Cyclopyxis_eurystoma","Difflugia_lucida","Euglypha","Nebela_bohemica","Trinema_complanatum","Trinema_enchelys","Trinema_lineare","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
