"Curculionidae_sp_L","Cecidomyiidae_sp","Aphidinea_sp","Hemiptera_sp_juvenile","Tingidae_sp","Ditylenchus","Helicotylenchus","Pratylenchus","Tylenchorhynchus","Agyneta_subtilis","Araneae_sp","cf_Haplodrassus_sp","cf_Neon_sp","Diplocentria_bidentata","Hahnia_pusilla","Hahnia_sp","Linyphiidae_sp_juvenile","Lycosidae_sp_juvenile","Neon_sp","Tapinocyba_pallens","Lithobius_sp","Ampedus_balteatus_L","Athous_haemorrhoidalis_L","Athous_subfuscus_L","Cantharidae_sp_L","Carabidae_sp_L","Dalopius_marginatus_L","Elateridae_L","Staphylinidae_sp_I","Staphylinidae_sp_L","Byrrhidae_sp_I","Pselaphidae_sp_I","Anurophorus_septentrionalis","Entomobryinae_juvenile","Friesea_claviseta","Isotoma_juvenile","Isotoma_viridis","Isotomiella_minor","Lepidocyrtus_juvenile","Lepidocyrus_lanuginosus","Mesaphorura_juvenile","Mesaphorura_tenuisensillata","Mesaphorura_yossii","Micranurida_pygmaea","Micraphorura_absoloni","Neanura_muscorum","Orchesella_bifasciata","Parisotoma_notabilis","Pseudachorutes_subcrassus","Willemia_anophthalma","Willemia_denisi","Muscidae_sp","Cognettia","Aphelenchoides","Dorylaimus","Eucephalobus","Panagrolaimus","Arcella","Assulina_muscorum","Centropyxis_sylvatica","Corythion_dubium","Cyclopyxis_eurystoma","Euglypha_ciliata","Euglypha_compressa","Nebela_bohemica","Nebela_militaris","Schoenbornia","T_lineare_v_minuscula","Trigonopyxis_arcula","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
