"Halticinae_I","Cecidomyiidae_sp","Cicadellidae_sp","Ortheziidae_sp","Noctuidae_sp","Ditylenchus","Tylenchus","Thysanoptera_sp","Alopecosa_sp","Cozyptila_guseinovorum","Cozyptila_sp","Erigoninae_gen_sp","Neon_sp","Pritha_sp","Scytodes_thoracica","Zelotes_aurantiacus","Geophilidae_sp","Lithobius_ferganensis","Lithobius_sp","Platynychus_decorus_L","Diplogaster","Myrmeleontidae_sp","Opilionida_sp","Pseudoscorpionida_sp","Entomobryinae_juvenile","Folsomia_nigromaculata","Folsomides_parvulus","Isotomiella_minor","Isotomodes_sexsetosus","Lepidocyrus_lanuginosus","Megalothorax_minimus","Mesaphorura_critica","Mesaphorura_hylophila","Mesaphorura_undefined","Mesaphorura_yossii","Metaphorura_affinis","Neanura_sp_1","Parisotoma_notabilis","Protaphorura_sp_8","Pseudachorutes_sp_1","Pseudochorutella_sp_1","Willemia_undefined","Xenylla_brevisimilis","Xenylla_juvenile","Polyxenida_sp","Diplura_sp","Muscidae_sp","Embioptera_sp","Fridericia","Japygidae_sp","Lumbricidae","Acrobeles","Aphelenchoides","Aphelenchus","Mesodorylaimus","Panagrolaimus","Protura_sp","Symphyla_sp","Centropyxis_sylvatica","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
