FW_name,uniqueID,ecosystem.type,location,lat,lon,soilType,soilHumidity,labileCarbon,labileNitrogen,pH,microbialCarbon,microbialNitrogen,ammonium,whc,phosphorus,airHumidity,temperature,t_min_July,t_min_Jan,t_mean_Jan,t_mean_July,t_max_Jan,t_max_July,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,vol_fall_tree,vol_stand_tree,vol_twig,cover_berry,C_soil,N_soil,mass_C/N,Si,P,S,Cl,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As ,Rb,Sr,Y,Ba,Pb,Microb_NF_act,Microb_NF_pot,Microb_DN_act,Microb_DN_pot,Microb_CH4_act,Microb_CO2_act,Microb_CO2_pot,sampling.start.year,sampling.end.year
foodweb1,Y2_UT_01c,Soils,Divnomorskoe,44.475455,38.149605,Leptosols_rendzic,41.50969384,174.9901805,38.50411171,8.22,271.0959916,38.80221093,0.017339714,36.37183736,36.10534392,71,10,18.5,-1.6,2,22.4,5.2,26.4,11.9,7.4,26,7296,26.4,-1.1,27.5,4.9,10.3,21.4,2.9,889,126,57,27,310,180,191,300,2.03434308,0,0.0475167,0,11.96502701,0.487884785,24.52428683,8167.6,0.1235,0.115,128.7,3060.3,28444.1,5.534,1.46,27.93,6296.7,0,4.48,23.5,448.1,0.275,0,122.3,0,101.5,7.39,0.26236,32.8832,4.572,41.8956,3.8028,1.552,5.668,2013,2013
foodweb2,Y2_UT_03c,Soils,Abrau-Dyurso,44.715321,37.592342,Leptosols_rendzic,34.06923221,54.87771842,18.13116432,8.26,191.5643808,23.87775494,0.010200946,27.12184904,38.38104222,47,13.5,18.5,-1.9,1.5,22.4,4.6,26.5,11.7,7.4,26,7455,26.5,-1.6,28.1,4.5,10.2,21.4,2.5,829,123,54,28,293,168,178,282,0,0,0.031989342,29,6.57605361,0.336777958,18.78535024,18049.1,1.57,0.16,129.8,15556.3,228798.6,20.371,9.08,61.45,25963,0,2.58,23.61,296.4,0,0,167.88,0,278.9,0.275,0.6512,119.5764,1.7148,38.8444,4.6684,1.604,8.466666667,2013,2013
foodweb3,Y2_UT_05c,Soils,Gelenzhik,44.588447,37.969701,Leptosols_rendzic,44.43752093,126.9946328,39.57080009,8.246666667,184.6363958,25.92816414,0.033947717,42.20713617,116.343824,50,11.2,18.5,-2.4,1.1,22.5,4.2,26.5,11.6,7.3,25,7603,26.5,-1.9,28.4,4.2,10,21.5,2.2,698,104,46,28,246,141,151,231,0.176715,0.219912,0.03392928,0,13.88539312,0.669766909,20.61380939,13409,2.299,0.0845,174.2,6985.4,48240.9,10.967,7.26,57.57,18431.7,0.198,1.33,20.6,269,0,0,145.9,0,221.4,1.74,0.8204,115.1972,0.728,42.5196,4.5768,2.277333333,7.346666667,2013,2013
foodweb4,Y2_UT_07c,Soils,Bolshoy_Utrish,44.747369,37.409939,Cambisols_chromic,31.75151844,113.5920492,24.21117014,8.036666667,369.7312238,55.72567873,0.01033433,37.10134202,646.6399524,40,15.7,18.7,-2.5,1.2,22.6,4.3,26.6,11.7,7.3,25,7639,26.6,-1.8,28.4,4.3,10.1,21.6,2.2,629,90,42,26,218,127,138,202,0,0.424116,0,7,7.409146306,0.585149787,12.66875021,10386,0.079,0.0889,138.7,3740,4309.8,7.878,4.07,23.86,8821.9,0,0.705,26,251.8,0,0,39.3,0,272.4,0.903,0.4896,37.7452,2.1316,54.8496,3.0768,1.414,6.548666667,2013,2013
foodweb5,Y2_VZ_09c,Soils,Galichya_gora,52.594845,38.923564,Chernozem_chernic,34.69,57.03578884,18.90353279,6.91,1590.89225,331.250295,0.011193789,23.65171796,37.014028,95,16.6,14,-12.7,-9.3,19.5,-5.9,25.1,5.8,8.8,23,10511,25.1,-12.7,37.8,18.7,-7.1,18.7,-7.9,565,78,24,34,207,89,207,106,0.85903125,0.9719325,0.106029,32,8.103981057,0.738358529,10.96317408,5879.1,0.0423,0,4.12,1426.8,1977.6,3.245,0.276,3.58,4433.1,0,0.0366,1.56,36.3,0.0146,0,27.3,0,89.8,0.636,1.1976,15.3212,0.88564,45.596,1.4468,1.302,4.152,2013,2013
foodweb6,Y2_VZ_11c,Soils,Donskoye,52.580094,39.000751,Phaeozem_albic,21.56333333,66.20765674,20.70649913,6.826666667,787.9755372,251.9326127,0.014562193,15.60028846,14.73076233,59,15.3,13.8,-12.9,-9.6,19.4,-6.1,25,5.6,8.8,23,10548,25,-13,38,18.5,-7.4,18.5,-8.2,570,79,24,32,209,89,209,107,1.8555075,4.47383475,0.2544696,0,3.984997231,0.282804726,14.45459151,37471.6,0.00164,0.00904,76.2,12731.6,4538.4,2.561,0.315,1.756,13808.6,0,0.0596,3.93,79.8,0,0,11.52,0,141.9,2.39,0.9076,12.0092,0.5872,41.7232,1.3516,1.231066667,4.0716,2013,2013
foodweb7,Y2_VZ_13c,Soils,Venevitinovo,51.818968,39.393242,Podzol_folic,19.71333333,103.1324671,22.85967403,5.73,819.3797529,224.4749542,0.015636916,10.31658838,15.17960805,46,18.5,14.6,-12.1,-8.8,20.3,-5.4,26.1,6.4,8.9,23,10559,26.1,-12.1,38.2,19.4,-0.8,19.4,-7.3,560,72,29,27,192,96,192,116,1.953849398,2.28845925,0.21382515,20,7.39424286,0.388106404,18.710477,10273.4,0.082,0,0.439,1256.9,882.8,6.89,0.0777,6.083,3451.7,0,0,2.12,34.2,0,0,21.1,0,117.2,5.612,0.8696,11.0992,0.426,11.4772,3.4768,0.983333333,2.925333333,2013,2013
foodweb8,Y2_VZ_15c,Soils,Venevitinovo,51.812436,39.389963,Podzol_folic,16.28666667,32.29640892,15.5565335,6.61,869.7834573,234.1766907,0.013209272,8.459305625,7.475536463,37,26.5,14.7,-12.1,-8.8,20.4,-5.4,26.1,6.4,8.9,23,10562,26.1,-12.1,38.2,19.4,-0.8,19.4,-7.3,561,72,29,27,192,96,192,116,3.498957,0.26609352,0.016630845,48,12.30984122,0.705032777,17.43256229,17802.8,0.0755,0,7.46,562.9,1271.6,1.452,0.729,25.54,1844.7,0,0.0814,2.64,25.03,0.0254,0,7.52,0,45.7,0.55,0.8732,11.0444,0.3512,13.5304,0.9988,1.201333333,3.5,2013,2013
foodweb9,Y2_CL_17c,Soils,Dubna,56.647912,37.443685,Albeluvisols_gleyic,103.3366667,277.7149917,62.80880238,6.166666667,281.1142412,32.84025382,0.04550322,72.90795409,164.5752978,11,23.1,13.3,-12.8,-9.7,18.3,-6.5,23.3,4.5,7.9,21,9871,23.3,-12.8,36.1,17,-7.1,17,-8.3,631,87,27,33,231,91,231,111,4.205817,0.58905,0.035637525,260,25.94832243,0.852204963,24.86195643,47413.1,0.000489,0,32.17,7646.5,8062.6,6.293,0,3.07,13109.3,0,0,10.98,310.8,0.192,0,32.65,0,48.92,0.145,1.1132,43.096,0.3288,51.446,15.188,1.784,3.646026667,2013,2013
foodweb10,Y2_CL_19c,Soils,Verbilki,56.521919,37.62822,Albeluvisols_umbric,128.4766667,841.0696688,185.2129823,4.85,384.8353945,34.0479686,0.160157081,284.6881927,118.059375,18,22,13.3,-12.8,-9.8,18.2,-6.6,23.2,4.5,7.9,21,9888,23.2,-12.9,36.1,17,-7.2,17,-8.4,640,88,29,32,233,96,233,115,2.45339325,0.23562,0.247401,80,12.15743388,0.430420673,27.3407987,11258.1,0.0064,0,13.11,1631.7,702.8,6.09,1.42,4.49,2014.7,0,0,7.83,1252.9,0,0,34.3,0,19.58,0.988,1.0156,13.006,0.252,8.2252,1.8212,0.82,2.187333333,2013,2013
