"fwName","uniqueID","taxon","metabolic_type","bodymass","bodymass_units","abundance","abundance_units","biomass","biomass_units","trophic_1","trophic_2","strata","mobility","group","rank","kingdom","phylum","class","order","family","genus","canonicalName","authorship"
"foodweb5","Y2_VZ_09c","Achaeta","invertebrate","NA",NA,203.821656050955,"indiv_m2","NA",NA,"sapro",NA,NA,NA,"Enchytraeidae","GENUS","Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Achaeta","Achaeta","Vejdovský, 1878"
"foodweb5","Y2_VZ_09c","Abacoproeces_saltuum","invertebrate","3.0600000000000001E-4","g_dwt",6.36942675159236,"indiv_m2","1.9490445859872598E-3","g_dwt_m2","preda",NA,"above","M","Araneae","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Abacoproeces","Abacoproeces saltuum","(L.Koch, 1872)"
"foodweb5","Y2_VZ_09c","Anthocoridae_sp","invertebrate","6.5850000000000001E-4","g_dwt",6.36942675159236,"indiv_m2","4.1942675159235693E-3","g_dwt_m2","phyto",NA,"above","M","Hemiptera","FAMILY","Animalia","Arthropoda","Insecta","Hemiptera","Anthocoridae",NA,"Anthocoridae",NA
"foodweb5","Y2_VZ_09c","Athous_haemorrhoidalis_L","invertebrate","3.703583333333333E-3","g_dwt",6.36942675159236,"indiv_m2","2.3589702760084898E-2","g_dwt_m2","preda",NA,"below","M","Coleoptera","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Athous","Athous haemorrhoidalis","(Fabricius, 1801)"
"foodweb5","Y2_VZ_09c","Cryptophagidae_sp_I","invertebrate","1.5899999999999999E-4","g_dwt",6.36942675159236,"indiv_m2","1.01273885350318E-3","g_dwt_m2","sapro",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Cryptophagidae",NA,"Cryptophagidae",NA
"foodweb5","Y2_VZ_09c","Cylindronotus_sp_L","invertebrate","1.559142857142857E-3","g_dwt",6.36942675159236,"indiv_m2","9.9308462238398496E-3","g_dwt_m2","sapro",NA,"above","M","Coleoptera","GENUS","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Cylindronotus","Cylindronotus","Faldermann, 1837"
"foodweb5","Y2_VZ_09c","Geophilidae_sp","invertebrate","3.2646186853002098E-3","g_dwt",6.36942675159236,"indiv_m2","2.07937495878994E-2","g_dwt_m2","preda",NA,"below","R","Chilopoda","FAMILY","Animalia","Arthropoda","Chilopoda","Geophilomorpha","Geophilidae",NA,"Geophilidae",NA
"foodweb5","Y2_VZ_09c","Hemiptera_sp_juvenile","invertebrate","5.6999999999999996E-5","g_dwt",6.36942675159236,"indiv_m2","3.6305732484076401E-4","g_dwt_m2","phyto",NA,"above","M","Hemiptera","ORDER","Animalia","Arthropoda","Insecta","Hemiptera",NA,NA,"Hemiptera",NA
"foodweb5","Y2_VZ_09c","Histeridae_sp_I","invertebrate","2.43575E-3","g_dwt",6.36942675159236,"indiv_m2","1.5514331210191098E-2","g_dwt_m2","preda",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Histeridae",NA,"Histeridae",NA
"foodweb5","Y2_VZ_09c","Lagriidae_sp_L","invertebrate","2.8849999999999997E-4","g_dwt",6.36942675159236,"indiv_m2","1.83757961783439E-3","g_dwt_m2","preda",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Lagriidae",NA,"Lagriidae",NA
"foodweb5","Y2_VZ_09c","Lathridiidae_sp_I","invertebrate","8.5785714285714282E-5","g_dwt",6.36942675159236,"indiv_m2","5.46405823475887E-4","g_dwt_m2","sapro",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Latridiidae",NA,"Lathridiidae",NA
"foodweb5","Y2_VZ_09c","Lepidoptera_sp","invertebrate","5.75E-6","g_dwt",6.36942675159236,"indiv_m2","3.6624203821655998E-5","g_dwt_m2","phyto",NA,"above","M","Lepidoptera","ORDER","Animalia","Arthropoda","Insecta","Lepidoptera",NA,NA,"Lepidoptera",NA
"foodweb5","Y2_VZ_09c","Lycosidae_sp_juvenile","invertebrate","1.0284000000000001E-3","g_dwt",6.36942675159236,"indiv_m2","6.5503184713375804E-3","g_dwt_m2","preda",NA,"above","M","Araneae","FAMILY","Animalia","Arthropoda","Arachnida","Araneae","Lycosidae",NA,"Lycosidae",NA
"foodweb5","Y2_VZ_09c","Pseudoscorpionida_sp","invertebrate","6.6333333333333324E-5","g_dwt",6.36942675159236,"indiv_m2","4.2250530785562597E-4","g_dwt_m2","preda",NA,"above","R","Pseudoscorpiones","ORDER","Animalia","Arthropoda","Arachnida","Pseudoscorpiones",NA,NA,"Pseudoscorpionida",NA
"foodweb5","Y2_VZ_09c","Ptiliidae_sp_I","invertebrate","3.2499999999999997E-5","g_dwt",6.36942675159236,"indiv_m2","2.07006369426752E-4","g_dwt_m2","sapro",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Ptiliidae",NA,"Ptiliidae",NA
"foodweb5","Y2_VZ_09c","Rhaphidiidae_sp","invertebrate","5.5566666666666666E-4","g_dwt",6.36942675159236,"indiv_m2","3.5392781316348201E-3","g_dwt_m2","preda",NA,"above","M","Raphidioptera","FAMILY",NA,NA,NA,NA,NA,NA,NA,NA
"foodweb5","Y2_VZ_09c","Tingidae_sp","invertebrate","4.4659999999999995E-3","g_dwt",6.36942675159236,"indiv_m2","2.8445859872611501E-2","g_dwt_m2","phyto",NA,"above","M","Hemiptera","FAMILY","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae",NA,"Tingidae",NA
"foodweb5","Y2_VZ_09c","Trichoncus_affinis","invertebrate","1.3933333333333327E-4","g_dwt",6.36942675159236,"indiv_m2","8.8747346072186794E-4","g_dwt_m2","preda",NA,"above","M","Araneae","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Trichoncus","Trichoncus affinis","Kulczyński, 1894"
"foodweb5","Y2_VZ_09c","Trogossitidae_sp_L","invertebrate","2.0899999999999998E-4","g_dwt",6.36942675159236,"indiv_m2","1.3312101910828E-3","g_dwt_m2","preda",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Trogossitidae",NA,"Trogossitidae",NA
"foodweb5","Y2_VZ_09c","Xysticus_lanio","invertebrate","1.5909E-2","g_dwt",6.36942675159236,"indiv_m2","0.10133121019108299","g_dwt_m2","preda",NA,"above","M","Araneae","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","Xysticus lanio","C.L.Koch, 1835"
"foodweb5","Y2_VZ_09c","Coccinellidae_sp_I","invertebrate","9.4299999999999994E-4","g_dwt",12.7388535031847,"indiv_m2","1.2012738853503201E-2","g_dwt_m2","preda",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,"Coccinellidae",NA
"foodweb5","Y2_VZ_09c","Cyclorrhapha_sp","invertebrate","1.1549999999999999E-4","g_dwt",12.7388535031847,"indiv_m2","1.4713375796178299E-3","g_dwt_m2","preda",NA,"below","M","Diptera","FAMILY","Animalia","Arthropoda","Insecta","Diptera","Cyclorrhapha",NA,"Cyclorrhapha",NA
