"Achnanthes","Amphinemura sulcicollis","Baetis rhodani","Chironomidae","Corixidae","CPOM","Electrogena lateralis","Elmis aenea","Esolus parallelepipedus","Eunotia bilunaris","Eunotia curvata","Eunotia exigua","Eunotia pectinalis","Eunotia rhomboidea","FPOM","Frustulia rhomboides","Gomphonema parvulum","Hydracarina","Isoperla grammatica","Leuctra hippopus","Leuctra inermis","Limnius volckmari","Meridion circulare","Oligochaeta","Oreodytes sanmarkii","Oulimnius","Phoxinus phoxinus","Pinnularia subcapitata","Plectrocnemia conspersa","Plectrocnemia geniculata","Rhyacophila dorsalis","Salmo trutta","Simuliidae","Siphonoperla torrentium","Surirella linearis","Surirella minuta","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0.0577866086709,0,0.0577866086709,0,0,0.0577866086709,0.0577866086709,0,0,0,0,0,0,0,0,0,0,0,0.0577866086709,0.0577866086709,0.0577866086709,0,0.0577866086709,0,0.0577866086709,0.0577866086709,0,0,0,0,0,0.0577866086709,0,0,0,0,0,0.0577866086709
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275248059,0,0,0,0,0,0,0,0.000275248059,0,0,0,0,0.000275248059,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081437780727,0,0,0,0,0,0,0,0.081437780727,0,0.081437780727,0.081437780727,0.081437780727,0.081437780727,0,0.081437780727,0,0,0,0.081437780727,0
0,0,0,0,0.00180109096100001,0,0,0,0,0,0,0,0,0,0,0,0,0.00180109096100001,0.00180109096100001,0,0,0,0,0,0.00180109096100001,0,0.00180109096100001,0,0.00180109096100001,0.00180109096100001,0.00180109096100001,0.00180109096100001,0,0.00180109096100001,0,0,0,0.00180109096100001,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003328490706,0,0,0,0,0,0,0.003328490706,0,0,0,0,0,0,0
0,0.178007952962296,0.00448464526929,0.0753529377025147,0,0,0.178007952962296,0.178007952962296,0,0,0,0,0,0,0,0,0,0,1,0.178007952962296,0.178007952962296,0.178007952962296,0,0.0750751504222957,0,0.178007952962296,0.178007952962296,0,1,1,1,0,0.043570850417874,0,0,0,0,0,0.041690661618093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184365986,0,0,0,0,0,0,0,0.00184365986,0,0.00184365986,0.00184365986,0.00184365986,0.00184365986,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0968603e-05,0,0,0,1.0968603e-05,1.0968603e-05,0,1.0968603e-05,0,0,0,1.0968603e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.178904e-05,0,0,0,0,0,0,0
0,0.003788772213642,0,0.003788772213642,0,0,0.003788772213642,0.003788772213642,0,0,0,0,0,0,0,0,0,0,0,0.003788772213642,0.003788772213642,0.003788772213642,0,0.003788772213642,0,0.003788772213642,0.003788772213642,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03174302158521,0,0.03174302158521,0,0,0.03174302158521,0.03174302158521,0,0,0,0,0,0,0,0,0,0,0,0.03174302158521,0.03174302158521,0.03174302158521,0,0.03174302158521,0,0.03174302158521,0.03174302158521,0,0,0,0,0,0,0,0,0,0,0,0
