"Achnanthes austriaca minor","Achnanthes helvetica","Achnanthes minutissima","Amphinemura sulcicollis","Baetis rhodani","Chironomidae","CPOM","Elmis aenea","Eunotia exigua","Eunotia incisa","Eunotia pectinalis","Eunotia vanheurckii intermedia","FPOM","Fragilaria vaucheriae","Fragilariforma virescens","Frustulia rhomboides","Hydracarina","Isoperla grammatica","Leuctra inermis","Oligochaeta","Oreodytes sanmarkii","Oreodytes septentrionalis","Pinnularia subcapitata","Plectrocnemia conspersa","Plectrocnemia geniculata","Potamophylax latipennis","Rhyacophila dorsalis","Rhyacophila fasciata","Salmo trutta","Simuliidae","Siphonoperla torrentium","Surirella linearis","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0.0001362441666815,0,0.0001362441666815,0,0.0001362441666815,0,0,0,0,0,0,0,0,0,0,0.0001362441666815,0.0001362441666815,0,0,0,0,0,0.0001362441666815,0,0,0,0.0001362441666815,0,0,0,0,0.0001362441666815
0,0,0,0.001956303750087,0,0.001956303750087,0,0.001956303750087,0,0,0,0,0,0,0,0,0,0,0.001956303750087,0.001956303750087,0,0,0,0,0,0.001956303750087,0,0,0,0.001956303750087,0,0,0,0,0.001956303750087
0,0,0,0.044226708,0,0.044226708,0,0.044226708,0,0,0,0,0,0,0,0,0,0,0.044226708,0.044226708,0,0,0,0,0,0.044226708,0,0,0,0.044226708,0,0,0,0,0.044226708
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375071214,0,0,0,0,0,0,0,0,0,0,0.000375071214,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153063790395,0,0,0,0,0,0.153063790395,0.153063790395,0.153063790395,0.153063790395,0.153063790395,0.153063790395,0,0.153063790395,0,0,0.153063790395,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004623603,0.0004623603,0,0,0.0004623603,0.0004623603,0,0.0004623603,0.0004623603,0.0004623603,0.0004623603,0.0004623603,0.0004623603,0,0.0004623603,0,0,0.0004623603,0
0,0,0,0.081949933597234,0.001072832333382,0.0389174753646052,0,0.081949933597234,0,0,0,0,0,0,0,0,0,1,0.081949933597234,0.039986340375102,0,0,0,1,1,0.081949933597234,1,1,0,0.027519807260645,0,0,0,0,0.0248643281980163
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000608712224,0.000608712224,0.000608712224,0,0.000608712224,0,0,0.000608712224,0
0,0,0,0.0230727215625,0,0.0230727215625,0,0.0230727215625,0,0,0,0,0,0,0,0,0,0,0.0230727215625,0.0230727215625,0,0,0,0,0,0.0230727215625,0,0,0,0,0,0,0,0,0
0,0,0,0.0001571383125,0,0.0001571383125,0,0.0001571383125,0,0,0,0,0,0,0,0,0,0,0.0001571383125,0.0001571383125,0,0,0,0,0,0.0001571383125,0,0,0,0,0,0,0,0,0
0,0,0,0.00036304,0,0.00036304,0,0.00036304,0,0,0,0,0,0,0,0,0,0,0.00036304,0.00036304,0,0,0,0,0,0.00036304,0,0,0,0,0,0,0,0,0
0,0,0,0.004513394458178,0,0.004513394458178,0,0.004513394458178,0,0,0,0,0,0,0,0,0,0,0.004513394458178,0.004513394458178,0,0,0,0,0,0.004513394458178,0,0,0,0,0,0,0,0,0
0,0,0,0.081949933597234,0.001072832333382,0.0389174753646052,0,0.081949933597234,0,0,0,0,0,0,0,0,0,0,0.081949933597234,0.039986340375102,1,1,0,0,0,0.081949933597234,1,1,0,0.027519807260645,0,0,0,0,0.0248643281980163
