Achnanthes minutissima,Baetis muticus,Baetis rhodani,Chironomidae,Chloroperla tripunctata,Cottus gobio,CPOM,Diatoma vulgaris,Diploneis elliptica,Ecdyonurus,Elmis aenea,Encyonema minutum,Encyonema silesiacum,Esolus parallelepipedus,Eunotia exigua,Eunotia incisa,Eunotia rhomboidea,FPOM,Fragilaria arcus,Fragilaria ulna,Frustulia rhomboides,Gammarus pulex,Gomphonema angustatum,Gomphonema parvulum,Heptagenia,Hydropsyche siltalai,Isoperla grammatica,Lepidostoma hirtum,Leuctra hippopus,Limnius volckmari,Navicula lanceolata,Oligochaeta,Oreodytes sanmarkii,Oulimnius,Phoxinus phoxinus,Plectrocnemia conspersa,Plectrocnemia geniculata,Rhithrogena semicolorata,Salmo salar,Salmo trutta,Sericostoma personatum,Serratella ignita,Silo pallipes,Simuliidae,Siphonoperla torrentium,Tanypodinae,Tipulidae
0,0,0,0.005006949,0,0,0,0,0,0.005006949,0.005006949,0,0,0,0,0,0,0,0,0,0,0.005006949,0,0,0.005006949,0.005006949,0,0.005006949,0.005006949,0.005006949,0,0.005006949,0,0.005006949,0.005006949,0,0,0.005006949,0,0,0.005006949,0,0.005006949,0.005006949,0,0,0.005006949
0,0,0,0,0.000260338,0.000260338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260338,0,0,0,0.000260338,0.000260338,0,0,0,0,0,0,0,0.000260338,0.000260338,0.000260338,0,0.000260338,0.000260338,0,0,0,0,0.000260338,0.000260338,0
0,0,0,0,0.030660886,0.030660886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030660886,0,0,0,0.030660886,0.030660886,0,0,0,0,0,0,0,0.030660886,0.030660886,0.030660886,0,0.030660886,0.030660886,0,0,0,0,0.030660886,0.030660886,0
0,0,0,0,0.0011104,0.0011104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011104,0,0,0,0.0011104,0.0011104,0,0,0,0,0,0.0011104,0,0.0011104,0.0011104,0.0011104,0,0.0011104,0.0011104,0.0011104,0.0011104,0,0,0.0011104,0.0011104,0
0,0,0,0,0.000664652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664652,0.000664652,0,0.000664652,0.000664652,0,0,0,0,0.000664652,0.000664652,0
0,0,0,0,0,0.004670546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004670546,0,0,0,0.004670546,0.004670546,0,0,0,0,0,0,0
0,0.065309132,0.065309132,0.07229705,0,0,0,0,0,0.072884868,0.072884868,0,0,0,0,0,0,0,0,0,0,0.072884868,0,0,0.072884868,0.072884868,1,0.072884868,0.072884868,0.072884868,0,0.06691521,0,0.072884868,0.072884868,1,1,0.072884868,0,0,0.068861044,0,0.072884868,0.068861044,0,0,0.068273225
0,0,0,0.00089991,0,0,0,0,0,0.00089991,0.00089991,0,0,0,0,0,0,0,0,0,0,0.00089991,0,0,0.00089991,0.00089991,0,0.00089991,0.00089991,0.00089991,0,0,0,0.00089991,0.00089991,0,0,0.00089991,0,0,0.00089991,0,0.00089991,0.00089991,0,0,0.00089991
0,0,0,0,0,0,0,0,0,0.000998123,0.000998123,0,0,0,0,0,0,0,0,0,0,0.000998123,0,0,0.000998123,0.000998123,0,0.000998123,0.000998123,0.000998123,0,0.000998123,0,0.000998123,0.000998123,0,0,0.000998123,0,0,0.000998123,0,0.000998123,0.000998123,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411945,0,0,0,0,0,0,0,0.00411945,0.00411945,0.00411945,0,0.00411945,0.00411945,0,0,0,0,0,0,0
0,0,0,0,0,0.000126664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126664,0,0,0,0.000126664,0.000126664,0,0,0,0,0.000126664,0.000126664,0
0,0,0,6.37E-06,0,0,0,0,0,6.37E-06,6.37E-06,0,0,0,0,0,0,0,0,0,0,6.37E-06,0,0,6.37E-06,6.37E-06,0,6.37E-06,6.37E-06,6.37E-06,0,6.37E-06,0,6.37E-06,6.37E-06,0,0,6.37E-06,0,0,6.37E-06,0,6.37E-06,6.37E-06,0,0,6.37E-06
0,0,0,1.50E-05,0,0,0,0,0,1.50E-05,1.50E-05,0,0,0,0,0,0,0,0,0,0,1.50E-05,0,0,1.50E-05,1.50E-05,0,1.50E-05,1.50E-05,1.50E-05,0,1.50E-05,0,1.50E-05,1.50E-05,0,0,1.50E-05,0,0,1.50E-05,0,1.50E-05,1.50E-05,0,0,1.50E-05
