"Amphinemura sulcicollis","Brachysira","Chironomidae","Chloroperla tripunctata","CPOM","Eunotia rhomboidea","FPOM","Fragilaria","Isoperla grammatica","Leuctra inermis","Oligochaeta","Peronia fibula","Pinnularia subcapitata","Plectrocnemia conspersa","Plectrocnemia geniculata","Protonemura meyeri","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0,0,0,0,0,0.0015087931296,0,0,0,0,0,0,0,0,0,0,0
0.620316056485,0,0,0,0,0,0,0,0,0.620316056485,0.620316056485,0,0,0,0,0.620316056485,0,0,0,0
0,0,0,0.0031444001664,0,0,0,0,0.0031444001664,0,0,0,0,0.0031444001664,0.0031444001664,0,0.0031444001664,0,0.0031444001664,0
0,0,0,0.0031597354176,0,0,0,0,0,0,0,0,0,0.0031597354176,0.0031597354176,0,0.0031597354176,0,0.0031597354176,0
5.02931760342415,0,0.24899983942125,0,0,0,0,0,1,5.02931760342415,4.1088195583029,0,0,1,1,5.02931760342415,0,0,0,0.04431831262125
0.4093630536,0,0.4093630536,0,0,0,0,0,0,0.4093630536,0.4093630536,0,0,0,0,0.4093630536,0,0,0,0
5.02931760342415,0,0.24899983942125,0,0,0,0,0,0,5.02931760342415,4.1088195583029,0,0,0,0,5.02931760342415,0,0,0,0.04431831262125
0.0886366252425,0,0.0886366252425,0,0,0,0,0,0,0.0886366252425,0,0,0,0,0,0.0886366252425,0,0,0,0.0886366252425
0,0,0,0,0,0,0,0,0.00707376264,0,0,0,0,0,0,0,0.00707376264,0,0,0
0,0,0,0.0315999242784,0,0,0,0,0.0315999242784,0,0,0,0,0.0315999242784,0.0315999242784,0,0.0315999242784,0,0.0315999242784,0
0,0,0,0.0012744001856,0,0,0,0,0,0,0,0,0,0.0012744001856,0.0012744001856,0,0.0012744001856,0,0.0012744001856,0
0.1787583574208,0,0,0,0,0,0,0,0,0.1787583574208,0.1787583574208,0,0,0,0,0.1787583574208,0,0,0,0
7.0092016491,0,0,0,0,0,0,0,0,7.0092016491,7.0092016491,0,0,0,0,7.0092016491,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060256986624,0.0060256986624,0,0,0,0.0060256986624,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014921985312,0.0014921985312,0,0,0,0.0014921985312,0
0,0,0,0,0,0,0,0,0.0019022147824,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0292723672736,0,0,0,0,0.0292723672736,0.0292723672736,0,0.0292723672736,0,0.0292723672736,0
1.752359465,0,0,0,0,0,0,0,0,1.752359465,0,0,0,0,0,1.752359465,0,0,0,0
0,0,0,0.027907451264,0,0,0,0,0.027907451264,0,0,0,0,0.027907451264,0.027907451264,0,0.027907451264,0,0.027907451264,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013531262992,0.0013531262992,0,0,0,0.0013531262992,0
