"Achnanthes conspicua","Achnanthes levanderi","Achnanthes minutissima","Amphinemura sulcicollis","Baetis muticus","Baetis rhodani","Brachysira vitrea","Ceratopogonidae","Chironomidae","Chloroperla tripunctata","Corixidae","CPOM","Crunoecia irrorata","Diatoma hyemale quadratum","Diplectrona felix","Drusus annulatus","Electrogena lateralis","Elmis aenea","Erpobdella octoculata","FPOM","Fragilaria arcus","Fragilaria capucina","Fragilaria construens","Frustulia rhomboides","Gomphonema parvulum","Gomphonema truncatum","Helodes","Hydracarina","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Leuctra moselyi","Leuctra nigra","Limnius volckmari","Navicula seminulum","Neidium","Nemoura cambrica","Nitzschia","Nitzschia recta","Oligochaeta","Plectrocnemia conspersa","Plectrocnemia geniculata","Silo pallipes","Simuliidae","Siphonoperla torrentium","Synedra acus","Tabellaria flocculosa","Tanypodinae","Tipulidae","Wormaldia"
0,0,0,0.00016376304,0,0,0,0.00016376304,0.00016376304,0,0,0,0.00016376304,0,0.00016376304,0.00016376304,0.00016376304,0.00016376304,0.00016376304,0,0,0,0,0,0,0,0.00016376304,0,0.00016376304,0,0.00016376304,0.00016376304,0.00016376304,0.00016376304,0,0,0.00016376304,0,0,0.00016376304,0,0,0.00016376304,0.00016376304,0,0,0,0,0.00016376304,0.00016376304
0,0,0,6.060544666877e-05,0,0,0,6.060544666877e-05,6.060544666877e-05,0,0,0,6.060544666877e-05,0,6.060544666877e-05,6.060544666877e-05,6.060544666877e-05,6.060544666877e-05,6.060544666877e-05,0,0,0,0,0,0,0,6.060544666877e-05,0,6.060544666877e-05,0,6.060544666877e-05,6.060544666877e-05,6.060544666877e-05,6.060544666877e-05,0,0,6.060544666877e-05,0,0,6.060544666877e-05,0,0,6.060544666877e-05,6.060544666877e-05,0,0,0,0,6.060544666877e-05,6.060544666877e-05
0,0,0,0.00327001475943,0,0,0,0.00327001475943,0.00327001475943,0,0,0,0.00327001475943,0,0.00327001475943,0.00327001475943,0.00327001475943,0.00327001475943,0.00327001475943,0,0,0,0,0,0,0,0.00327001475943,0,0.00327001475943,0,0.00327001475943,0.00327001475943,0.00327001475943,0.00327001475943,0,0,0.00327001475943,0,0,0.00327001475943,0,0,0.00327001475943,0.00327001475943,0,0,0,0,0.00327001475943,0.00327001475943
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001301312196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001301312196
0,0,0,0,0,0,0,0,0,0.0050657168,0,0,0,0,0.0050657168,0,0,0,0.0050657168,0,0,0,0,0,0,0,0,0,0.0050657168,0.0050657168,0,0,0,0,0,0,0,0,0,0,0.0050657168,0.0050657168,0,0,0.0050657168,0,0,0.0050657168,0,0.0050657168
0,0,0,0,0,0,0,0,0,0.026211510858,0,0,0,0,0.026211510858,0,0,0,0.026211510858,0,0,0,0,0,0,0,0,0,0.026211510858,0.026211510858,0,0,0,0,0,0,0,0,0,0,0.026211510858,0.026211510858,0,0,0.026211510858,0,0,0.026211510858,0,0.026211510858
0,0,0,0.001506425866726,0,0,0,0.001506425866726,0,0,0,0,0.001506425866726,0,0.001506425866726,0.001506425866726,0.001506425866726,0.001506425866726,0.001506425866726,0,0,0,0,0,0,0,0.001506425866726,0,0.001506425866726,0,0.001506425866726,0.001506425866726,0.001506425866726,0.001506425866726,0,0,0.001506425866726,0,0,0.001506425866726,0,0,0.001506425866726,0.001506425866726,0,0,0,0,0,0.001506425866726
0,0,0,0,0,0,0,0,0,0,8.774035e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.774035e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.774035e-06
0,0,0,0,0,0,0,0,0,0.000481803608,0.000481803608,0,0,0,0.000481803608,0,0,0,0.000481803608,0,0,0,0,0,0,0,0.000481803608,0.000481803608,0.000481803608,0.000481803608,0,0,0,0,0,0,0,0,0,0,0.000481803608,0.000481803608,0,0,0.000481803608,0,0,0.000481803608,0,0.000481803608
0,0,0,0,0,0,0,0,0,0.000722854509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722854509,0.000722854509,0,0,0.000722854509,0,0,0.000722854509,0,0.000722854509
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001982274535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001982274535
