"Amphinemura sulcicollis","Chironomidae","CPOM","Diatoma hyemale quadratum","Eunotia","Eunotia incisa","Eunotia rhomboidea","FPOM","Fragilaria","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Oligochaeta","Peronia fibula","Pinnularia subcapitata","Plectrocnemia conspersa","Salmo trutta","Siphlonurus armatus","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae"
0,0,0,0,0,0,0,0,0,0,0.0001725344064,0,0,0,0,0,0.0001725344064,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0056084465376,0.0056084465376,0,0,0,0,0.0056084465376,0.0056084465376,0,0.0056084465376,0,0.0056084465376
3.76282256123365,1.44905706193385,0,0,0,0,0,0,0,3.76282256123365,1,3.76282256123365,2.77992092178315,0,0,1,0,3.76282256123365,0,0,0
0.47132984206,0.47132984206,0,0,0,0,0,0,0,0.47132984206,0,0.47132984206,0,0,0,0,0,0.47132984206,0,0,0
0.1213272365247,0.1213272365247,0,0,0,0,0,0,0,0.1213272365247,0,0.1213272365247,0.1213272365247,0,0,0,0,0.1213272365247,0,0,0
0.53947300827,0.53947300827,0,0,0,0,0,0,0,0.53947300827,0,0.53947300827,0.53947300827,0,0,0,0,0.53947300827,0,0,0
0.611163898065,0.611163898065,0,0,0,0,0,0,0,0.611163898065,0,0.611163898065,0.611163898065,0,0,0,0,0.611163898065,0,0,0
3.76282256123365,1.44905706193385,0,0,0,0,0,0,0,3.76282256123365,0,3.76282256123365,2.77992092178315,0,0,0,0,3.76282256123365,0,0,0
1.154820138948,1.154820138948,0,0,0,0,0,0,0,1.154820138948,0,1.154820138948,0,0,0,0,0,1.154820138948,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026297606,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0033792912464,0,0,0,0,0,0.0033792912464,0,0.0033792912464,0,0
0,0,0,0,0,0,0,0,0,0.0151090155072,0.0151090155072,0,0,0,0,0.0151090155072,0.0151090155072,0,0.0151090155072,0,0.0151090155072
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006184307744,0.0006184307744,0,0.0006184307744,0,0.0006184307744
0.2707308674266,0,0,0,0,0,0,0,0,0.2707308674266,0,0.2707308674266,0.2707308674266,0,0,0,0,0.2707308674266,0,0,0
4.01714683328,0,0,0,0,0,0,0,0,4.01714683328,0,4.01714683328,4.01714683328,0,0,0,0,4.01714683328,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007943639024,0,0,0,0,0.0007943639024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0449903241648,0,0,0,0,0.0449903241648,0,0,0.0449903241648,0,0.0449903241648
0.339653297893,0,0,0,0,0,0,0,0,0.339653297893,0,0.339653297893,0,0,0,0,0,0.339653297893,0,0,0
0,0,0,0,0,0,0,0,0,0.002246953248,0.002246953248,0,0,0,0,0.002246953248,0.002246953248,0,0.002246953248,0,0.002246953248
