"Achnanthes lanceolata","Achnanthes minutissima","Acroloxus lacustris","Amphora pediculus","Ancylus fluviatilis","Antocha","Asellus aquaticus","Athripsodes","Baetis","Baetis rhodani","Baetis scambus","Baetis vernus","Barbatula barbatula","Caenis luctuosa","Caenis rivulorum","Calopteryx splendens","Calopteryx virgo","Chironomidae","Cocconeis placentula","Cottus gobio","CPOM","Dendrocoelum lacteum","Diatoma vulgaris","Elmis aenea","Encyonema silesiacum","Ephemera danica","Eunotia bilunaris","FPOM","Fragilaria capucina","Fragilaria fasciculata","Fragilaria ulna","Gammarus pulex","Gobio gobio","Goera pilosa","Gomphonema olivaceum","Gomphonema parvulum","Hydracarina","Hydropsyche pellucidula","Hydropsyche siltalai","Hydroptila","Ithytrichia","Lampetra planeri","Limnephilus lunatus","Limnius volckmari","Lype reducta","Navicula atomus","Navicula cryptotenella","Navicula lanceolata","Navicula minima","Navicula pupula","Navicula radiosa","Navicula seminulum","Navicula tripunctata","Nitzschia dissipata","Nitzschia palea","Nitzschia recta","Oligochaeta","Oulimnius troglodytes","Oulimnius tuberculatus","Phoxinus phoxinus","Physa fontinalis","Pisidium","Potamopyrgus antipodarum","Rhyacophila dorsalis","Salmo trutta","Sericostoma personatum","Serratella ignita","Silo nigricornis","Simuliidae","Sphaeromias","Squalius cephalus","Tanypodinae"
0,0,0.062837651196,0,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0,0,0,0,0,0.062837651196,0.062837651196,0,0,0.062837651196,0,0,0,0.062837651196,0,0.062837651196,0,0.062837651196,0,0,0,0,0,0.062837651196,0.062837651196,0.062837651196,0,0,0,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0,0,0,0,0,0,0,0,0,0,0,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0,0.062837651196,0.062837651196,0,0,0.062837651196,0,0.062837651196,0.062837651196,0.062837651196,0.062837651196,0
0,0,0.0962103177924,0,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0,0,0,0,0,0.0962103177924,0.0962103177924,0,0,0.0962103177924,0,0,0,0.0962103177924,0,0.0962103177924,0,0.0962103177924,0,0,0,0,0,0.0962103177924,0.0962103177924,0.0962103177924,0,0,0,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0,0,0,0,0,0,0,0,0,0,0,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0,0.0962103177924,0.0962103177924,0,0,0.0962103177924,0,0.0962103177924,0.0962103177924,0.0962103177924,0.0962103177924,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776001379,0,0,0.00776001379,0,0.00776001379,0,0,0,0,0,0,0,0,0,0,0.00776001379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776001379,0,0,0,0,0.00776001379,0,0,0,0,0,0.00776001379,0
0,0,4.026182804469e-05,0,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,0,4.026182804469e-05,4.026182804469e-05,0,0,4.026182804469e-05,0,0,0,4.026182804469e-05,0,4.026182804469e-05,0,4.026182804469e-05,0,0,0,0,0,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,0,0,0,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,0,0,0,0,0,0,0,0,0,0,0,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,0,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,0,4.026182804469e-05,0,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,4.026182804469e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47443364176,0,0,0,0,0,0,0,0,0,0,0,0,0.47443364176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47443364176,0,0,0,0,0.47443364176,0,0,0,0,0,0.47443364176,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118108789,0,0,0,0,0,0,0,0,0,0,0,0,0.00118108789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118108789,0,0,0,0,0,0.00118108789,0
0,0,0,0,0,0,0,0,0,0,0,0,0.00244436505,0,0,0,0.00244436505,0,0,0.00244436505,0,0.00244436505,0,0,0,0,0,0,0,0,0,0,0.00244436505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244436505,0,0,0,0,0.00244436505,0,0,0,0,0,0.00244436505,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057541811755,0.057541811755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057541811755,0,0,0,0,0,0.057541811755,0
0,0,0,0,0,0.002177047985,0,0,0,0,0,0,0.002177047985,0,0,0,0.002177047985,0,0,0.002177047985,0,0.002177047985,0,0,0,0,0,0,0,0,0,0.002177047985,0.002177047985,0,0,0,0,0.002177047985,0.002177047985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002177047985,0,0,0,0.002177047985,0.002177047985,0,0,0,0,0,0.002177047985,0.002177047985
0,0,0,0,0,0.00550946052,0,0,0,0,0,0,0.00550946052,0,0,0,0.00550946052,0,0,0.00550946052,0,0.00550946052,0,0,0,0,0,0,0,0,0,0.00550946052,0.00550946052,0,0,0,0,0.00550946052,0.00550946052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00550946052,0,0,0,0.00550946052,0.00550946052,0,0,0,0,0,0.00550946052,0.00550946052
0,0,0,0,0,0.00196880524,0,0,0,0,0,0,0.00196880524,0,0,0,0.00196880524,0,0,0.00196880524,0,0.00196880524,0,0,0,0,0,0,0,0,0,0.00196880524,0.00196880524,0,0,0,0,0.00196880524,0.00196880524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196880524,0,0,0,0.00196880524,0.00196880524,0,0,0,0,0,0.00196880524,0.00196880524
