"Achnanthes","Achnanthes lanceolata","Achnanthes minutissima","Anabolia nervosa","Ancylus fluviatilis","Anguilla anguilla","Asellus aquaticus","Athripsodes","Baetis buceratus","Baetis rhodani","Barbatula barbatula","Bithynia tentaculata","Caenis luctuosa","Calopteryx splendens","Chaetopteryx villosa","Chironomidae","Cocconeis placentula","Coronadinium","Cottus gobio","CPOM","Dicranota","Elmis aenea","Eloeophila","Encyonema minutum","Ephemera danica","Ephemera vulgata","Erpobdella octoculata","Eunotia tenella","FPOM","Fragilaria capucina","Fragilaria fasciculata","Frustulia rhomboides","Gammarus pulex","Gasterosteus aculeatus","Glossiphonia complanata","Goera pilosa","Gomphonema olivaceum","Gyrosigma acuminatum","Halesus radiatus","Helobdella stagnalis","Hydracarina","Hydropsyche pellucidula","Hydropsyche siltalai","Hydroptila","Hydroptilidae","Ithytrichia","Lepidostoma hirtum","Limnephilus lunatus","Limnius volckmari","Lype reducta","Melosira varians","Meridion circulare","Mystacides azurea","Navicula cryptocephala","Navicula cryptotenella","Navicula lanceolata","Navicula minima","Navicula reinhardtii","Navicula tripunctata","Nemoura avicularis","Nitzschia dissipata","Nitzschia recta","Oligochaeta","Orectochilus villosus","Oulimnius tuberculatus","Perca fluviatilis","Phoxinus phoxinus","Pisidium","Planorbis","Polycentropus flavomaculatus","Potamopyrgus antipodarum","Salmo trutta","Serratella ignita","Sialis lutaria","Simuliidae","Sphaeromias","Squalius cephalus","Tanypodinae","Tinodes waeneri","Triaenodes bicolor","Valvata piscinalis"
0,0,0,0,0.004319847030997,0,0.004319847030997,0.004319847030997,0,0,0,0.004319847030997,0.004319847030997,0,0.004319847030997,0.004319847030997,0,0,0,0,0.004319847030997,0.004319847030997,0.004319847030997,0,0.004319847030997,0,0.004319847030997,0,0,0,0,0,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0,0,0,0,0,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0,0,0,0,0,0,0,0,0,0.004319847030997,0,0,0.004319847030997,0.004319847030997,0.004319847030997,0,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0,0,0.004319847030997,0.004319847030997,0.004319847030997,0.004319847030997,0,0.004319847030997,0,0.004319847030997
0,0,0,0,0.40115924632,0,0.40115924632,0.40115924632,0,0,0,0.40115924632,0.40115924632,0,0.40115924632,0.40115924632,0,0,0,0,0.40115924632,0.40115924632,0.40115924632,0,0.40115924632,0.40115924632,0.40115924632,0,0,0,0,0,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0,0,0,0,0,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0,0,0,0,0,0,0,0,0,0.40115924632,0,0,0.40115924632,0.40115924632,0.40115924632,0,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0,0,0.40115924632,0.40115924632,0.40115924632,0.40115924632,0,0.40115924632,0,0.40115924632
0,0,0,0,0.1326764672685,0,0.1326764672685,0.1326764672685,0,0,0,0.1326764672685,0.1326764672685,0,0.1326764672685,0.1326764672685,0,0,0,0,0.1326764672685,0.1326764672685,0.1326764672685,0,0.1326764672685,0,0.1326764672685,0,0,0,0,0,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0,0,0,0,0,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0,0,0,0,0,0,0,0,0,0.1326764672685,0,0,0.1326764672685,0.1326764672685,0.1326764672685,0,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0,0,0.1326764672685,0.1326764672685,0.1326764672685,0.1326764672685,0,0.1326764672685,0,0.1326764672685
0,0,0,0,0,0.2857397211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857397211,0.2857397211,0,0,0,0,0.2857397211,0,0,0,0,0.2857397211,0,0,0,0
0,0,0,0,0,0.096416049825,0,0,0,0,0,0,0,0,0,0,0,0,0.096416049825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096416049825,0,0,0,0,0.096416049825,0,0,0,0,0.096416049825,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4588018385328,0,0,0,0,0.4588018385328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4588018385328,0,0,0,0,0.4588018385328,0,0,0,0,0.4588018385328,0,0,0,0
0,0,0,0,0,0.0067992527625,0,0,0,0,0.0067992527625,0,0,0,0,0,0,0,0.0067992527625,0,0,0,0,0,0,0,0.0067992527625,0,0,0,0,0,0,0.0067992527625,0.0067992527625,0,0,0,0,0.0067992527625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067992527625,0.0067992527625,0,0,0,0,0.0067992527625,0,0.0067992527625,0,0,0.0067992527625,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357898369125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357898369125,0,0,0,0,0.0357898369125,0,0,0,0
0,0,0,0.05564495605,0,0.05564495605,0,0,0,0,0.05564495605,0,0,0,0,0,0,0,0.05564495605,0,0,0,0.05564495605,0,0,0,0.05564495605,0,0,0,0,0,0.05564495605,0.05564495605,0,0,0,0,0,0,0,0.05564495605,0.05564495605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05564495605,0.05564495605,0,0,0.05564495605,0,0.05564495605,0,0,0,0,0.05564495605,0.05564495605,0,0,0
0,0,0,0.0043208997375,0,0.0043208997375,0,0,0,0,0.0043208997375,0,0,0,0,0,0,0,0.0043208997375,0,0,0,0.0043208997375,0,0,0,0.0043208997375,0,0,0,0,0,0.0043208997375,0.0043208997375,0,0,0,0,0,0,0,0.0043208997375,0.0043208997375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043208997375,0.0043208997375,0,0,0.0043208997375,0,0.0043208997375,0,0,0,0,0.0043208997375,0.0043208997375,0,0,0
