"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"Afon Berwyn","Achnanthes minutissima",0.00921768232077,"dry g.m2",2.31e-10,39903386.67,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Achnanthes oblongella",0.01646253,"dry g.m2",2.94e-10,55995000,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Achnanthes scotica",0.002146079660277,"dry g.m2",8.31e-11,25825266.67,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Baetis rhodani",0.000685818728,"dry g.m2",4.8987052e-05,14,"animal","ectotherm invertebrate","species","walking",1.82661495590562e-07,0.88459897241344
"Afon Berwyn","Brachysira brebissonii",0.00585509436,"dry g.m2",8.53e-10,6864120,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Brachysira vitrea",0.00217592604,"dry g.m2",9.51e-10,2288040,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Ceratopogonidae",3.2849299e-05,"dry g.m2",3.2849299e-05,1,"animal","ectotherm invertebrate","family","walking",9.82414542387668e-09,0.88459897241344
"Afon Berwyn","Chironomidae",0.00183748103699999,"dry g.m2",1.18547163677419e-05,155,"animal","ectotherm invertebrate","family","walking",7.38508799452461e-07,0.88459897241344
"Afon Berwyn","Chloroperla tripunctata",0.005446122817,"dry g.m2",0.000286638043,19,"animal","ectotherm invertebrate","species","walking",8.69004184016867e-07,0.88459897241344
"Afon Berwyn","Cottus gobio",0.367721698061016,"dry g.m2",0.3061755287,1.201015965,"animal","ectotherm vertebrate","species","swimming",0.000332132326489026,0.88459897241344
"Afon Berwyn","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Afon Berwyn","Diatoma hyemalis",0.0795444382,"dry g.m2",4.33e-10,183705400,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Drusus annulatus",0.006386739888,"dry g.m2",0.002128913296,3,"animal","ectotherm invertebrate","species","walking",5.69737313850729e-07,0.88459897241344
"Afon Berwyn","Ecdyonurus",0.059736103014,"dry g.m2",0.008533729002,7,"animal","ectotherm invertebrate","genus","walking",3.56260660487223e-06,0.88459897241344
"Afon Berwyn","Electrogena lateralis",0.001033690511,"dry g.m2",0.001033690511,1,"animal","ectotherm invertebrate","species","walking",1.13704727881572e-07,0.88459897241344
"Afon Berwyn","Elmis aenea",0.001065046496,"dry g.m2",3.3282703e-05,32,"animal","ectotherm invertebrate","species","walking",3.17311947149277e-07,0.88459897241344
"Afon Berwyn","Encyonema perpusillum",0.000866032972,"dry g.m2",1.19e-11,72775880,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Esolus parallelepipedus",9.9811252e-05,"dry g.m2",9.9811252e-05,1,"animal","ectotherm invertebrate","species","walking",2.16261242824465e-08,0.88459897241344
"Afon Berwyn","Eunotia curvata",0.01807284,"dry g.m2",1.5e-09,12048560,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia exigua",0.02346015247743,"dry g.m2",7.71e-10,30428213.33,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia incisa",0.01582299369603,"dry g.m2",8.09e-10,19558706.67,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia minutissima",0.000463549548,"dry g.m2",3.63e-11,12769960,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia naegelii",0.001858505333255,"dry g.m2",2.35e-10,7908533.333,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia paludosa",0.001898890933407,"dry g.m2",2.21e-10,8592266.667,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia pectinalis undulata",0.0686412,"dry g.m2",1e-08,6864120,"plant","plant","infraspecies","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia rhomboidea",0.00793934613368,"dry g.m2",1.04e-09,7633986.667,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","Eunotia tenella",0.00730685264,"dry g.m2",2.36e-10,30961240,"plant","plant","species","sessile",NA,0.487432933611077
"Afon Berwyn","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Afon Berwyn","Fragilaria construens",0.00546275624,"dry g.m2",2.11e-10,25889840,"plant","plant","species","sessile",NA,0.487432933611077
