"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"Dargall Lane","Amphinemura sulcicollis",0.0115609332256,"dry g.m2",0.000328435603,35.2,"animal","ectotherm invertebrate","species","walking",1.77330555057566e-06,0.88459897241344
"Dargall Lane","Brachysira brebissonii",3.155277893076,"dry g.m2",6.83e-09,461973337.2,"plant","plant","species","sessile",NA,0.487432933611077
"Dargall Lane","Chironomidae",0.0035860014336,"dry g.m2",0.000186770908,19.2,"animal","ectotherm invertebrate","family","walking",6.47876204512955e-07,0.88459897241344
"Dargall Lane","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Dargall Lane","Dicranota",0.0012356701824,"dry g.m2",0.000257431288,4.8,"animal","ectotherm invertebrate","genus","walking",2.03409872955298e-07,0.88459897241344
"Dargall Lane","Dugesia",0.0002091876032,"dry g.m2",0.000130742252,1.6,"animal","ectotherm invertebrate","genus","walking",4.19118240612989e-08,0.88459897241344
"Dargall Lane","Eunotia denticulata",0.700215562273,"dry g.m2",2.71e-09,258382126.3,"plant","plant","species","sessile",NA,0.487432933611077
"Dargall Lane","Eunotia exigua",0.2152701564238,"dry g.m2",3.58e-10,601313286.1,"plant","plant","species","sessile",NA,0.487432933611077
"Dargall Lane","Eunotia incisa",2.49644931354,"dry g.m2",1.53e-09,1631666218,"plant","plant","species","sessile",NA,0.487432933611077
"Dargall Lane","Eunotia naegelii",2.14690099617,"dry g.m2",1.89e-08,113592645.3,"plant","plant","species","sessile",NA,0.487432933611077
"Dargall Lane","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Dargall Lane","Isoperla grammatica",0.004889622368,"dry g.m2",0.00152800699,3.2,"animal","ectotherm invertebrate","species","walking",4.80219971430343e-07,0.88459897241344
"Dargall Lane","Leuctra hippopus",0.0019404155872,"dry g.m2",0.000606379871,3.2,"animal","ectotherm invertebrate","species","walking",2.49149498112537e-07,0.88459897241344
"Dargall Lane","Leuctra inermis",0.0041280103968,"dry g.m2",0.000430001083,9.6,"animal","ectotherm invertebrate","species","walking",5.85592977917189e-07,0.88459897241344
"Dargall Lane","Peronia fibula",3.005700744057,"dry g.m2",5.61e-10,5357755337,"plant","plant","species","sessile",NA,0.487432933611077
"Dargall Lane","Plectrocnemia conspersa",0.0004528965472,"dry g.m2",0.000283060342,1.6,"animal","ectotherm invertebrate","species","walking",7.25296094691265e-08,0.88459897241344
"Dargall Lane","Protonemura meyeri",0.000766555584,"dry g.m2",0.00047909724,1.6,"animal","ectotherm invertebrate","species","walking",1.05385784984347e-07,0.88459897241344
"Dargall Lane","Salmo trutta",0.50599999995,"dry g.m2",3.373333333,0.15,"animal","ectotherm vertebrate","species","swimming",0.00625615332790181,0.88459897241344
"Dargall Lane","Siphonoperla torrentium",0.0082592187904,"dry g.m2",0.000645251468,12.8,"animal","ectotherm invertebrate","species","walking",1.04154684501998e-06,0.88459897241344
"Dargall Lane","Tabellaria flocculosa",3.521181282858,"dry g.m2",9.93e-10,3546003306,"plant","plant","species","sessile",NA,0.487432933611077
"Dargall Lane","Tipulidae",0.0022911101296,"dry g.m2",0.001431943831,1.6,"animal","ectotherm invertebrate","family","walking",2.29291881292217e-07,0.88459897241344
