"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"G2","Achnanthes minutissima",0.0024411996,"dry g.m2",3.43e-10,7117200,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Achnanthes oblongella",0.00067166204,"dry g.m2",4.57e-10,1469720,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Amphinemura sulcicollis",0.0012591373909852,"dry g.m2",0.000283305913,4.444444444,"animal","ectotherm invertebrate","species","walking",2.01595221062125e-07,0.88459897241344
"G2","Baetis rhodani",0.00884652036038463,"dry g.m2",0.000115389396,76.66666667,"animal","ectotherm invertebrate","species","walking",1.83783118928057e-06,0.88459897241344
"G2","Brachysira brebissonii",0.02098276,"dry g.m2",5e-10,41965520,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Brachysira vitrea",0.03984669396,"dry g.m2",9.71e-10,41036760,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Chironomidae",0.000517475907800377,"dry g.m2",1.08308910927658e-05,47.777777781,"animal","ectotherm invertebrate","family","walking",2.13500436598254e-07,0.88459897241344
"G2","Chloroperla tripunctata",0.00848722876,"dry g.m2",0.000424361438,20,"animal","ectotherm invertebrate","species","walking",1.20860320236589e-06,0.88459897241344
"G2","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"G2","Diatoma hyemalis",0.00659625026749,"dry g.m2",2.47e-10,26705466.67,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Electrogena lateralis",0.0150451736073844,"dry g.m2",0.003385164062,4.444444444,"animal","ectotherm invertebrate","species","walking",1.17322235979043e-06,0.88459897241344
"G2","Elmis aenea",0.00048447901772933,"dry g.m2",0.000109007779,4.444444444,"animal","ectotherm invertebrate","species","walking",1.02323066678348e-07,0.88459897241344
"G2","Encyonema minutum",0.00014134582,"dry g.m2",1.87e-11,7558600,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Eunotia exigua",0.00510368376,"dry g.m2",3.01e-10,16955760,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Eunotia incisa",0.006164004986458,"dry g.m2",6.26e-10,9846653.333,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Eunotia rhomboidea",0.01399726817083,"dry g.m2",7.51e-10,18638173.33,"plant","plant","species","sessile",NA,0.487432933611077
"G2","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"G2","Fragilaria arcus",0.00061253136,"dry g.m2",4.41e-10,1388960,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Fragilaria ulna",0.117259119978,"dry g.m2",6.6e-08,1776653.333,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Frustulia rhomboides",0.00226458496,"dry g.m2",3.52e-10,6433480,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Glossosoma boltoni",0.000616150488827274,"dry g.m2",0.00027726772,2.222222222,"animal","ectotherm invertebrate","species","walking",9.92675365158157e-08,0.88459897241344
"G2","Glossosoma conformis",0.000983253739901675,"dry g.m2",0.000442464183,2.222222222,"animal","ectotherm invertebrate","species","walking",1.38331854470349e-07,0.88459897241344
"G2","Gomphonema angustum",0.0005986021319667,"dry g.m2",9.99e-11,5992013.333,"plant","plant","species","sessile",NA,0.487432933611077
"G2","Helodes",0.00514348511504121,"dry g.m2",0.001157284151,4.444444444,"animal","ectotherm invertebrate","genus","walking",5.475466584699e-07,0.88459897241344
"G2","Hydracarina",0.00039836936662683,"dry g.m2",0.00011951081,3.333333333,"animal","ectotherm invertebrate","genus","walking",8.19217266416545e-08,0.88459897241344
"G2","Hydropsyche instabilis",0.0185822849675958,"dry g.m2",0.002787342745,6.666666667,"animal","ectotherm invertebrate","species","walking",1.53304588706507e-06,0.88459897241344
"G2","Hydropsyche siltalai",0.0371017328488491,"dry g.m2",0.001964209386,18.88888889,"animal","ectotherm invertebrate","species","walking",3.38790313199905e-06,0.88459897241344
"G2","Isoperla grammatica",0.0714914116372953,"dry g.m2",0.003217113524,22.22222222,"animal","ectotherm invertebrate","species","walking",5.65782965515038e-06,0.88459897241344
"G2","Leuctra inermis",0.0323980071433044,"dry g.m2",0.000175651846,184.4444444,"animal","ectotherm invertebrate","species","walking",5.9584082417361e-06,0.88459897241344
"G2","Leuctra nigra",0.00114691591766309,"dry g.m2",0.000516112163,2.222222222,"animal","ectotherm invertebrate","species","walking",1.54311054871384e-07,0.88459897241344
