"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"L7","Achnanthes levanderi",0.0004223074773042,"dry g.m2",8.74e-11,4831893.333,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Achnanthes minutissima",0.01431293717409,"dry g.m2",2.27e-10,63052586.67,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Adicella reducta",0.001034254814,"dry g.m2",0.000517127407,2,"animal","ectotherm invertebrate","species","walking",1.39073859506591e-07,0.88459897241344
"L7","Amphinemura sulcicollis",0.002175375285,"dry g.m2",0.000145025019,15,"animal","ectotherm invertebrate","species","walking",4.22938272687534e-07,0.88459897241344
"L7","Bacillaria paxillifer",0.0122931072,"dry g.m2",7.12e-09,1726560,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Baetis muticus",0.03140268494,"dry g.m2",0.000570957908,55,"animal","ectotherm invertebrate","species","walking",4.10310699785957e-06,0.88459897241344
"L7","Baetis rhodani",0.072848589705,"dry g.m2",0.000539619183,135,"animal","ectotherm invertebrate","species","walking",9.67558105559689e-06,0.88459897241344
"L7","Brachyptera risi",0.001068297637,"dry g.m2",0.001068297637,1,"animal","ectotherm invertebrate","species","walking",1.16394579931579e-07,0.88459897241344
"L7","Brachysira vitrea",0.00246341120082,"dry g.m2",2.46e-09,1001386.667,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Chironomidae",0.00075722529,"dry g.m2",1.45620248076923e-05,52,"animal","ectotherm invertebrate","family","walking",2.8671607653559e-07,0.88459897241344
"L7","Chloroperla tripunctata",0.001858117416,"dry g.m2",0.000464529354,4,"animal","ectotherm invertebrate","species","walking",2.57751133577067e-07,0.88459897241344
"L7","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"L7","Diatoma hyemalis",0.01755593573553,"dry g.m2",6.59e-10,26640266.67,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Diploneis ovalis",0.01005489066602,"dry g.m2",1.94e-09,5182933.333,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Drusus annulatus",0.02009091578,"dry g.m2",0.01004545789,2,"animal","ectotherm invertebrate","species","walking",1.14285137838771e-06,0.88459897241344
"L7","Electrogena lateralis",0.008034161643,"dry g.m2",0.000892684627,9,"animal","ectotherm invertebrate","species","walking",9.22145340679886e-07,0.88459897241344
"L7","Elmis aenea",0.00328980256,"dry g.m2",3.738412e-05,88,"animal","ectotherm invertebrate","species","walking",9.47658373519115e-07,0.88459897241344
"L7","Encyonema minutum",0.000509231349298,"dry g.m2",1.06e-11,48040693.33,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Eunotia pectinalis",0.000707715200109,"dry g.m2",3.27e-09,216426.6667,"plant","plant","species","sessile",NA,0.487432933611077
"L7","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"L7","Fragilaria arcus",0.04439430191691,"dry g.m2",9.27e-10,47890293.33,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Fragilaria capucina",0.000690624,"dry g.m2",1.2e-09,575520,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Fragilaria construens",0.00149327104,"dry g.m2",3.83e-10,3898880,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Fragilaria ulna",0.228129648,"dry g.m2",7.71e-08,2958880,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Frustulia rhomboides",0.00128749296,"dry g.m2",6.87e-10,1874080,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Glossosoma conformis",0.000629284494,"dry g.m2",0.000314642247,2,"animal","ectotherm invertebrate","species","walking",9.77330242122009e-08,0.88459897241344
"L7","Gomphonema olivaceum",0.000145201066657,"dry g.m2",2.9e-10,500693.3333,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Gomphonema truncatum",0.0001967575466818,"dry g.m2",4.54e-10,433386.6667,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Hydropsyche siltalai",0.001171916838,"dry g.m2",0.000585958419,2,"animal","ectotherm invertebrate","species","walking",1.51976580926942e-07,0.88459897241344
"L7","Isoperla grammatica",0.02436536648,"dry g.m2",0.001218268324,20,"animal","ectotherm invertebrate","species","walking",2.55545794969442e-06,0.88459897241344
"L7","Leuctra inermis",0.016294233654,"dry g.m2",0.000187290042,87,"animal","ectotherm invertebrate","species","walking",2.94148018797457e-06,0.88459897241344
"L7","Meridion circulare constrictum",0.01270371754436,"dry g.m2",6.92e-10,18357973.33,"plant","plant","infraspecies","sessile",NA,0.487432933611077
"L7","Navicula angusta",0.03526636106989,"dry g.m2",9.67e-09,3646986.667,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Navicula lanceolata",0.0406624512,"dry g.m2",6.02e-09,6754560,"plant","plant","species","sessile",NA,0.487432933611077
"L7","Nemoura erratica",0.000465144741,"dry g.m2",0.000155048247,3,"animal","ectotherm invertebrate","species","walking",8.86980297135438e-08,0.88459897241344
"L7","Oligochaeta",0.002457075924,"dry g.m2",0.000819025308,3,"animal","ectotherm invertebrate","class","walking",2.89150268766593e-07,0.88459897241344
"L7","Pisidium",5.8057229e-05,"dry g.m2",5.8057229e-05,1,"animal","ectotherm invertebrate","genus","walking",1.47197089465382e-08,0.88459897241344
"L7","Plectrocnemia conspersa",0.00095144379,"dry g.m2",0.00031714793,3,"animal","ectotherm invertebrate","species","walking",1.47427478424209e-07,0.88459897241344
"L7","Potamophylax latipennis",0.002394545193,"dry g.m2",0.002394545193,1,"animal","ectotherm invertebrate","species","walking",2.06447488624631e-07,0.88459897241344
"L7","Rhithrogena semicolorata",0.044656397589,"dry g.m2",0.000875615639,51,"animal","ectotherm invertebrate","species","walking",5.15435130196132e-06,0.88459897241344
"L7","Sericostoma personatum",0.000485357734,"dry g.m2",0.000242678867,2,"animal","ectotherm invertebrate","species","walking",8.12763016484622e-08,0.88459897241344
"L7","Serratella ignita",0.000135459285,"dry g.m2",4.5153095e-05,3,"animal","ectotherm invertebrate","species","walking",3.6941169811729e-08,0.88459897241344
