"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"Nant Clywedog Uchaf","Achnanthes minutissima",0.013335036,"dry g.m2",2.6e-10,51288600,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Clywedog Uchaf","Baetis muticus",0.000179438412,"dry g.m2",8.9719206e-05,2,"animal","ectotherm invertebrate","species","walking",4.00995862989021e-08,0.88459897241344
"Nant Clywedog Uchaf","Baetis rhodani",0.004497850434,"dry g.m2",9.1792866e-05,49,"animal","ectotherm invertebrate","species","walking",9.98508272679696e-07,0.88459897241344
"Nant Clywedog Uchaf","Brachysira vitrea",0.00814002839937,"dry g.m2",1.89e-09,4306893.333,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Clywedog Uchaf","Chaetopteryx villosa",0.0110189446,"dry g.m2",0.00220378892,5,"animal","ectotherm invertebrate","species","walking",9.73154842607663e-07,0.88459897241344
"Nant Clywedog Uchaf","Chironomidae",0.001823239992,"dry g.m2",1.28397182535211e-05,142,"animal","ectotherm invertebrate","family","walking",7.16018085859184e-07,0.88459897241344
"Nant Clywedog Uchaf","Chloroperla tripunctata",0.000557305729,"dry g.m2",0.000557305729,1,"animal","ectotherm invertebrate","species","walking",7.33310050835495e-08,0.88459897241344
"Nant Clywedog Uchaf","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Nant Clywedog Uchaf","Cymbella gracilis",9.12370346752e-05,"dry g.m2",2.56e-11,3563946.667,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Clywedog Uchaf","Diatoma hyemalis",0.00297767744,"dry g.m2",5.57e-10,5345920,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Clywedog Uchaf","Diatoma vulgaris",0.002539312,"dry g.m2",4.75e-10,5345920,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Clywedog Uchaf","Drusus annulatus",0.00391721825,"dry g.m2",0.001958609125,2,"animal","ectotherm invertebrate","species","walking",3.57992692749366e-07,0.88459897241344
"Nant Clywedog Uchaf","Ecdyonurus",0.10771545416,"dry g.m2",0.01346443177,8,"animal","ectotherm invertebrate","genus","walking",5.62826756504369e-06,0.88459897241344
"Nant Clywedog Uchaf","Electrogena lateralis",0.000730206899,"dry g.m2",0.000730206899,1,"animal","ectotherm invertebrate","species","walking",8.883985862923e-08,0.88459897241344
"Nant Clywedog Uchaf","Elmis aenea",0.001985327104,"dry g.m2",3.1020736e-05,64,"animal","ectotherm invertebrate","species","walking",6.03690317773563e-07,0.88459897241344
"Nant Clywedog Uchaf","Esolus parallelepipedus",6.4579401e-05,"dry g.m2",6.4579401e-05,1,"animal","ectotherm invertebrate","species","walking",1.58755213366426e-08,0.88459897241344
"Nant Clywedog Uchaf","Eunotia rhomboidea",0.0528342378704,"dry g.m2",1.12e-09,47173426.67,"plant","plant","species","sessile",NA,0.487432933611077
