"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"Nant Pen y Cwm","Achnanthes altaica",0.000185489040051,"dry g.m2",1.53e-10,1212346.667,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Pen y Cwm","Achnanthes minutissima",0.00351821069398,"dry g.m2",1.94e-10,18135106.67,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Pen y Cwm","Amphinemura sulcicollis",0.000851706064,"dry g.m2",0.000106463258,8,"animal","ectotherm invertebrate","species","walking",1.81118602421269e-07,0.88459897241344
"Nant Pen y Cwm","Baetis muticus",0.0368048114,"dry g.m2",0.000657228775,56,"animal","ectotherm invertebrate","species","walking",4.61666156319955e-06,0.88459897241344
"Nant Pen y Cwm","Baetis rhodani",0.020055133104,"dry g.m2",0.000589856856,34,"animal","ectotherm invertebrate","species","walking",2.59579428948569e-06,0.88459897241344
"Nant Pen y Cwm","Barbatula barbatula",0.0038559999036,"dry g.m2",0.6266,0.006153846,"animal","ectotherm vertebrate","species","swimming",8.76586417569251e-05,0.88459897241344
"Nant Pen y Cwm","Caenis rivulorum",6.4904648e-05,"dry g.m2",6.4904648e-05,1,"animal","ectotherm invertebrate","species","walking",1.5932248236017e-08,0.88459897241344
"Nant Pen y Cwm","Caloneis tenuis",0.001389462400152,"dry g.m2",4.56e-09,304706.6667,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Pen y Cwm","Chironomidae",0.000220966658,"dry g.m2",9.607246e-06,23,"animal","ectotherm invertebrate","subfamily","walking",9.43918091820723e-08,0.88459897241344
"Nant Pen y Cwm","Chloroperla tripunctata",0.001899527852,"dry g.m2",0.000474881963,4,"animal","ectotherm invertebrate","species","walking",2.61816532876565e-07,0.88459897241344
"Nant Pen y Cwm","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"Nant Pen y Cwm","Cymbella cistula",1.982460133031e-05,"dry g.m2",9.07e-11,218573.3333,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Pen y Cwm","Diatoma hyemalis",0.02716437173572,"dry g.m2",7.16e-10,37939066.67,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Pen y Cwm","Ecdyonurus",0.115066735168,"dry g.m2",0.008219052512,14,"animal","ectotherm invertebrate","genus","walking",6.93765547691643e-06,0.88459897241344
"Nant Pen y Cwm","Electrogena lateralis",0.006212763888,"dry g.m2",0.002070921296,3,"animal","ectotherm invertebrate","species","walking",5.58674248819155e-07,0.88459897241344
"Nant Pen y Cwm","Elmis aenea",0.000344961042,"dry g.m2",5.7493507e-05,6,"animal","ectotherm invertebrate","species","walking",8.77085327737633e-08,0.88459897241344
"Nant Pen y Cwm","Encyonema perpusillum",4.52741879943e-05,"dry g.m2",1.71e-11,2647613.333,"plant","plant","species","sessile",NA,0.487432933611077
"Nant Pen y Cwm","Erpobdella octoculata",0.04195235723,"dry g.m2",0.04195235723,1,"animal","ectotherm invertebrate","species","walking",1.57658818826834e-06,0.88459897241344
"Nant Pen y Cwm","Esolus parallelepipedus",0.000166120773,"dry g.m2",5.5373591e-05,3,"animal","ectotherm invertebrate","species","walking",4.2699954356882e-08,0.88459897241344
