"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"River Bure","Achnanthes",0.0029660308944,"dry g.m2",2.24e-10,13241209.35,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Achnanthes delicatula",0.005874923354769,"dry g.m2",7.21e-10,8148298.689,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Achnanthes helvetica",0.0438204352883,"dry g.m2",3.19e-10,137368135.7,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Achnanthes lanceolata",0.0175188421792,"dry g.m2",1.72e-09,10185373.36,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Achnanthes minutissima",0.055839807864,"dry g.m2",3.04e-10,183683578.5,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Agapetus fuscipes",0.01632344262,"dry g.m2",0.000544114754,30,"animal","ectotherm invertebrate","species","walking",2.16283186030666e-06,0.88459897241344
"River Bure","Amphora pediculus",0.0002406878862785,"dry g.m2",5.65e-12,42599625.89,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Ancylus fluviatilis",0.01682151404,"dry g.m2",0.001682151404,10,"animal","ectotherm invertebrate","species","walking",1.60666545381848e-06,0.88459897241344
"River Bure","Asellus aquaticus",0.03971583056,"dry g.m2",0.000992895764,40,"animal","ectotherm invertebrate","species","walking",4.42000576280847e-06,0.88459897241344
"River Bure","Athripsodes",0.00267251351,"dry g.m2",0.000267251351,10,"animal","ectotherm invertebrate","genus","walking",4.35185466097462e-07,0.88459897241344
"River Bure","Baetis rhodani",0.05310344802,"dry g.m2",0.000252873562,210,"animal","ectotherm invertebrate","species","walking",8.78702727473407e-06,0.88459897241344
"River Bure","Barbatula barbatula",0.065727272793,"dry g.m2",2.7474,0.023923445,"animal","ectotherm vertebrate","species","swimming",0.00923830871090607,0.88459897241344
"River Bure","Caenis luctuosa",0.00011909166,"dry g.m2",2.3818332e-05,5,"animal","ectotherm invertebrate","species","walking",3.90965383436667e-08,0.88459897241344
"River Bure","Calopteryx splendens",0.00060663584,"dry g.m2",0.000121327168,5,"animal","ectotherm invertebrate","species","walking",1.24205685035821e-07,0.88459897241344
"River Bure","Chironomidae",0.008411983145,"dry g.m2",9.295009e-06,905,"animal","ectotherm invertebrate","subfamily","walking",3.62799930135102e-06,0.88459897241344
"River Bure","Cocconeis disculus",0.0412917251838,"dry g.m2",9.1e-10,45375522.18,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Cocconeis placentula",0.1616638284016,"dry g.m2",4.39e-09,36825473.44,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"River Bure","Elmis aenea",0.01865064768,"dry g.m2",6.6609456e-05,280,"animal","ectotherm invertebrate","species","walking",4.54391039021443e-06,0.88459897241344
"River Bure","Ephemera danica",0.136640320605,"dry g.m2",0.001012150523,135,"animal","ectotherm invertebrate","species","walking",1.51223414344879e-05,0.88459897241344
"River Bure","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"River Bure","Fragilaria capucina",0.0832825463816,"dry g.m2",1.22e-09,68264382.28,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Fragilaria fasciculata",0.0366346878777,"dry g.m2",2.37e-09,15457674.21,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Gammarus pulex",0.51798990769,"dry g.m2",0.000502902823,1030,"animal","ectotherm invertebrate","species","swimming",7.02185996273717e-05,0.88459897241344
"River Bure","Gasterosteus aculeatus",0.0092928229758,"dry g.m2",0.38844,0.023923445,"animal","ectotherm vertebrate","species","swimming",5.61815957610192e-05,0.88459897241344
"River Bure","Glossiphonia complanata",0.0640422152,"dry g.m2",0.01280844304,5,"animal","ectotherm invertebrate","species","walking",3.39510846799943e-06,0.88459897241344
"River Bure","Goera pilosa",0.02409076527,"dry g.m2",0.004818153054,5,"animal","ectotherm invertebrate","species","walking",1.69580718746367e-06,0.88459897241344
"River Bure","Gomphonema acuminatum",0.00709589801574,"dry g.m2",4.19e-10,16935317.46,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Gyrosigma acuminatum",0.0006111224016,"dry g.m2",3e-10,2037074.672,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Halesus radiatus",0.050014261845,"dry g.m2",0.003334284123,15,"animal","ectotherm invertebrate","species","walking",3.91727765608873e-06,0.88459897241344
"River Bure","Heptagenia sulphurea",0.00821367176,"dry g.m2",0.000117338168,70,"animal","ectotherm invertebrate","species","walking",1.69809190841399e-06,0.88459897241344
"River Bure","Hydracarina",0.00334403112,"dry g.m2",8.3600778e-05,40,"animal","ectotherm invertebrate","genus","walking",7.62764662965921e-07,0.88459897241344
"River Bure","Hydropsyche pellucidula",0.054121956705,"dry g.m2",0.003608130447,15,"animal","ectotherm invertebrate","species","walking",4.14307590322141e-06,0.88459897241344
"River Bure","Hydropsyche siltalai",0.033161437245,"dry g.m2",0.002210762483,15,"animal","ectotherm invertebrate","species","walking",2.92602065308016e-06,0.88459897241344
"River Bure","Ithytrichia",0.00025010209,"dry g.m2",2.5010209e-05,10,"animal","ectotherm invertebrate","genus","walking",8.09514337512082e-08,0.88459897241344
"River Bure","Lepidostoma hirtum",0.01038891255,"dry g.m2",0.000207778251,50,"animal","ectotherm invertebrate","species","walking",1.8198153029546e-06,0.88459897241344
"River Bure","Limnephilidae",0.00890412584,"dry g.m2",0.000222603146,40,"animal","ectotherm invertebrate","family","walking",1.52886261110052e-06,0.88459897241344
"River Bure","Limnephilus lunatus",0.010901933775,"dry g.m2",0.000726795585,15,"animal","ectotherm invertebrate","species","walking",1.32817476766786e-06,0.88459897241344
"River Bure","Limnephilus rhombicus",0.000950116805,"dry g.m2",0.000190023361,5,"animal","ectotherm invertebrate","species","walking",1.70798565248503e-07,0.88459897241344
"River Bure","Limnius volckmari",0.01647865773,"dry g.m2",0.000183096197,90,"animal","ectotherm invertebrate","species","walking",2.99437423028697e-06,0.88459897241344
"River Bure","Meridion circulare",0.0382910697936,"dry g.m2",3.9e-10,98182230.24,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Mystacides longicornis",0.00344481275,"dry g.m2",0.00068896255,5,"animal","ectotherm invertebrate","species","walking",4.26236010804688e-07,0.88459897241344
"River Bure","Navicula capitata",0.051859919852,"dry g.m2",1.15e-09,45095582.48,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Navicula cincta",0.056926641521,"dry g.m2",1.58e-09,36029519.95,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Navicula cryptocephala",0.540325574755,"dry g.m2",1.97e-09,274276941.5,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Navicula radiosa",0.4357448094272,"dry g.m2",4.48e-09,97264466.39,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Nemoura avicularis",0.02255227743,"dry g.m2",0.000751742581,30,"animal","ectotherm invertebrate","species","walking",2.72076855033337e-06,0.88459897241344
"River Bure","Nitzschia recta",0.01027759219968,"dry g.m2",2.26e-10,45476071.68,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Oligochaeta",0.0448477143,"dry g.m2",0.00010429701,430,"animal","ectotherm invertebrate","class","walking",9.59406644861952e-06,0.88459897241344
"River Bure","Orectochilus villosus",0.00945063252,"dry g.m2",0.000315021084,30,"animal","ectotherm invertebrate","species","walking",1.46724836156796e-06,0.88459897241344
"River Bure","Oulimnius tuberculatus",0.00290440881,"dry g.m2",9.6813627e-05,30,"animal","ectotherm invertebrate","species","walking",6.34888426487749e-07,0.88459897241344
"River Bure","Physa fontinalis",0.01472661645,"dry g.m2",0.000294532329,50,"animal","ectotherm invertebrate","species","walking",2.33139392952528e-06,0.88459897241344
"River Bure","Pinnularia",0.0743854538042,"dry g.m2",5.39e-09,13800640.78,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Pisidium",0.45896451714,"dry g.m2",0.001055090844,435,"animal","ectotherm invertebrate","genus","walking",5.01864296901365e-05,0.88459897241344
"River Bure","Platambus",0.1326251511,"dry g.m2",0.02652503022,5,"animal","ectotherm invertebrate","genus","walking",5.69281317545327e-06,0.88459897241344
"River Bure","Polycentropus flavomaculatus",0.001378294745,"dry g.m2",0.000275658949,5,"animal","ectotherm invertebrate","species","walking",2.2243106418391e-07,0.88459897241344
"River Bure","Potamophylax cingulatus",0.034366101495,"dry g.m2",0.006873220299,5,"animal","ectotherm invertebrate","species","walking",2.18230294620347e-06,0.88459897241344
"River Bure","Ptychoptera scutellaris",0.02722588435,"dry g.m2",0.00544517687,5,"animal","ectotherm invertebrate","species","walking",1.84969347762275e-06,0.88459897241344
"River Bure","Salmo trutta",0.438980861663861,"dry g.m2",7.645583333,0.057416268,"animal","ectotherm vertebrate","species","swimming",0.00442709885059544,0.88459897241344
"River Bure","Sericostoma personatum",0.05648229852,"dry g.m2",0.003765486568,15,"animal","ectotherm invertebrate","species","walking",4.27056650216759e-06,0.88459897241344
"River Bure","Sialis lutaria",0.10815518847,"dry g.m2",0.003090148242,35,"animal","ectotherm invertebrate","species","walking",8.65993444648392e-06,0.88459897241344
"River Bure","Simuliidae",0.00694305972,"dry g.m2",1.9286277e-05,360,"animal","ectotherm invertebrate","family","walking",2.42320475186029e-06,0.88459897241344
"River Bure","Sphaeromias",0.00320888088,"dry g.m2",8.913558e-06,360,"animal","ectotherm invertebrate","genus","walking",1.40087706529318e-06,0.88459897241344
"River Bure","Staurosira elliptica",0.0090274978065,"dry g.m2",5.7e-10,15837715.45,"plant","plant","species","sessile",NA,0.487432933611077
"River Bure","Tanypodinae",0.002356470795,"dry g.m2",2.2442579e-05,105,"animal","ectotherm invertebrate","subfamily","walking",7.87067913283452e-07,0.88459897241344
"River Bure","Tipulidae",0.01572531653,"dry g.m2",0.001572531653,10,"animal","ectotherm invertebrate","family","walking",1.5316051511718e-06,0.88459897241344
