"FW_name","species","biomass","units","bodymass","abundance","species_type","metabolic_type","taxonomic_level","movement_type","losses","efficiencies"
"River Wensum","Achnanthes",0.004319847030997,"dry g.m2",5.41e-10,7984929.817,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Achnanthes lanceolata",0.40115924632,"dry g.m2",1.12e-09,358177898.5,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Achnanthes minutissima",0.1326764672685,"dry g.m2",2.85e-10,465531464.1,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Anabolia nervosa",0.2857397211,"dry g.m2",0.001904931474,150,"animal","ectotherm invertebrate","species","walking",2.63249072675445e-05,0.88459897241344
"River Wensum","Ancylus fluviatilis",0.096416049825,"dry g.m2",0.003856641993,25,"animal","ectotherm invertebrate","species","walking",7.23952174845005e-06,0.88459897241344
"River Wensum","Anguilla anguilla",0.4588018385328,"dry g.m2",50.0094,0.009174312,"animal","ectotherm vertebrate","species","swimming",0.00618826325740052,0.88459897241344
"River Wensum","Asellus aquaticus",0.0067992527625,"dry g.m2",1.6483037e-05,412.5,"animal","ectotherm invertebrate","species","walking",2.48359991233378e-06,0.88459897241344
"River Wensum","Athripsodes",0.0357898369125,"dry g.m2",0.000260289723,137.5,"animal","ectotherm invertebrate","genus","walking",5.87270830851638e-06,0.88459897241344
"River Wensum","Baetis buceratus",0.05564495605,"dry g.m2",0.000108575524,512.5,"animal","ectotherm invertebrate","species","walking",1.17658901683706e-05,0.88459897241344
"River Wensum","Baetis rhodani",0.0043208997375,"dry g.m2",0.000115223993,37.5,"animal","ectotherm invertebrate","species","walking",8.98024094140975e-07,0.88459897241344
"River Wensum","Barbatula barbatula",0.0624610096831743,"dry g.m2",1.945214286,0.032110092,"animal","ectotherm vertebrate","species","swimming",0.000176335989474865,0.88459897241344
"River Wensum","Bithynia tentaculata",0.2563457171625,"dry g.m2",0.004557257194,56.25,"animal","ectotherm invertebrate","species","walking",1.833847792249e-05,0.88459897241344
"River Wensum","Caenis luctuosa",0.12879138085625,"dry g.m2",3.7263329e-05,3456.25,"animal","ectotherm invertebrate","species","walking",3.71343963057529e-05,0.88459897241344
"River Wensum","Calopteryx splendens",0.01724133471875,"dry g.m2",0.000551722711,31.25,"animal","ectotherm invertebrate","species","walking",2.27527073327003e-06,0.88459897241344
"River Wensum","Chaetopteryx villosa",0.0149764054875,"dry g.m2",0.001198112439,12.5,"animal","ectotherm invertebrate","species","walking",1.57835445319097e-06,0.88459897241344
"River Wensum","Chironomidae",0.143770995175,"dry g.m2",9.09943007436709e-06,15800,"animal","ectotherm invertebrate","family","walking",6.23904920006348e-05,0.88459897241344
"River Wensum","Cocconeis placentula",2.423273502909,"dry g.m2",7.77e-09,311875611.7,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Coronadinium",8.3763632064e-05,"dry g.m2",1.2e-11,6980302.672,"plant","plant","genus","sessile",NA,0.487432933611077
"River Wensum","Cottus gobio",0.385690221219137,"dry g.m2",1.557045708,0.247706422,"animal","ectotherm vertebrate","species","swimming",0.000301118911471729,0.88459897241344
"River Wensum","CPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"River Wensum","Dicranota",0.001383683875,"dry g.m2",5.5347355e-05,25,"animal","ectotherm invertebrate","genus","walking",3.55713243288853e-07,0.88459897241344
"River Wensum","Elmis aenea",0.01230371731875,"dry g.m2",5.0476789e-05,243.75,"animal","ectotherm invertebrate","species","walking",3.24863555263735e-06,0.88459897241344
"River Wensum","Eloeophila",0.0115585483125,"dry g.m2",0.00026419539,43.75,"animal","ectotherm invertebrate","genus","walking",1.88845317837584e-06,0.88459897241344
"River Wensum","Encyonema minutum",0.000931438899384,"dry g.m2",1.68e-11,55442791.63,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Ephemera danica",0.2254232829,"dry g.m2",0.000751410943,300,"animal","ectotherm invertebrate","species","walking",2.71991628883424e-05,0.88459897241344
"River Wensum","Ephemera vulgata",0.0085966443875,"dry g.m2",0.001375463102,6.25,"animal","ectotherm invertebrate","species","walking",8.70442354742272e-07,0.88459897241344
"River Wensum","Erpobdella octoculata",0.36241316425,"dry g.m2",0.01449652657,25,"animal","ectotherm invertebrate","species","walking",1.85352592369081e-05,0.88459897241344
"River Wensum","Eunotia tenella",0.1610497533988,"dry g.m2",1.96e-09,82168241.53,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","FPOM",NA,"dry g.m2",NA,NA,"detritus","detritus","species","NA",NA,0.13019011553718
"River Wensum","Fragilaria capucina",0.051281382232,"dry g.m2",1.36e-09,37706898.7,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Fragilaria fasciculata",0.0700303743153,"dry g.m2",2.19e-09,31977339.87,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Frustulia rhomboides",0.0174762324941,"dry g.m2",9.7e-10,18016734.53,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Gammarus pulex",2.7368300821875,"dry g.m2",0.000826212855,3312.5,"animal","ectotherm invertebrate","species","swimming",0.000321256865098314,0.88459897241344
"River Wensum","Gasterosteus aculeatus",0.0014848623972,"dry g.m2",0.1079,0.013761468,"animal","ectotherm vertebrate","species","swimming",0.000373338896307506,0.88459897241344
"River Wensum","Glossiphonia complanata",0.38325573845625,"dry g.m2",0.005574628923,68.75,"animal","ectotherm invertebrate","species","walking",2.58611172865282e-05,0.88459897241344
"River Wensum","Goera pilosa",0.03353977135,"dry g.m2",0.002683181708,12.5,"animal","ectotherm invertebrate","species","walking",2.79777522597502e-06,0.88459897241344
"River Wensum","Gomphonema olivaceum",0.101311736803,"dry g.m2",1.01e-10,1003086503,"plant","plant","species","sessile",NA,0.487432933611077
"River Wensum","Gyrosigma acuminatum",0.001413391250591,"dry g.m2",4.43e-10,3190499.437,"plant","plant","species","sessile",NA,0.487432933611077
