"FW_name","temperature_C","ecosystem.type","study_ID","lat","lon","sampling.start.year","sampling.end.year","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"Alford lake",21.85,"Lakes","Adirondack lakes",44.26,-74.04,1984,1984,16240921.1396475,1084.8161056047,99.9897295358526,984.826376068847,0.466943996198296,52,3.116334000896,2.92,0.167684167684168,0.455152287992525,0.520017184947368,"151",2.90384615384615,0.0558431952662722,0.0196733793711408
"Balsam lake",22.2,"Lakes","Adirondack lakes",43.62833333,-74.79722222,1984,1984,336685660.81835,312.758162695792,11.473994161495,301.284168534297,8.63125054513095,44,0.384268048326667,3,0.54520323487502,0.685166266025641,0.726014491354942,"205",4.65909090909091,0.105888429752066,0.0780142504806731
"Beaver lake",18.775,"Lakes","Adirondack lakes",43.65111111,-74.75222222,1984,1984,311433084.025043,336.818930018901,10.7916308673276,326.027299151573,296877.029605179,54,0.137175056186879,3.85436159844054,0.661374745400213,0.579410131161373,0.713254155645202,"234",4.33333333333333,0.0802469135802469,0.103233493843496
"Big hope lake",18.17142857,"Lakes","Adirondack lakes",44.51194444,-71.125,1984,1984,400192163.131845,183.298895046628,8.18707872243339,175.111816324194,635010.229383173,58,0.105158049232459,4.06039716456383,0.694794637996114,0.442649919484702,0.638712451752901,"280",4.82758620689655,0.0832342449464923,0.0955567282206378
"Brandy lake",19.9,"Lakes","Adirondack lakes",44.28472222,-74.35944444,1984,1984,2718404.93868881,200.225713997061,0.921331387059692,199.304382610002,0.0709996809586933,27,0.321091001984443,3.10388269310202,0.199470823798627,0.389159170961246,0.482071898171931,"94",3.48148148148148,0.128943758573388,0.0335282989302379
"Bridge brook lake",17.23333333,"Lakes","Adirondack lakes",44.1625,-74.56972222,1984,1984,333281809.153883,390.057875361402,55.9477197495997,334.110155611802,32069.846108399,73,0.352347140619455,3.73069234006734,0.391045472430826,0.652933457587253,0.68539984108698,"509",6.97260273972603,0.0955151060236442,0.0734957201367425
"Buck pond",18.33333333,"Lakes","Adirondack lakes",43.53,-75.06333333,1984,1984,29104639.6867496,103.316248903035,2.62569420221574,100.690554700819,0.83181702886528,41,0.290555003477015,3,0.0625,0.358418367346939,0.550844298245614,"151",3.68292682926829,0.0898274836406901,0.0133333333333333
"Burntbridge lake",22.5,"Lakes","Adirondack lakes",44.21222222,-74.70944444,1984,1984,280816756.383091,814.494192028291,44.4406663580805,770.05352567021,4525.89710671668,51,0.284753033735523,3,0.623333333333333,0.404622395833333,0.619161742420011,"153",3,0.0588235294117647,0.016984126984127
"Cascade lake",20.5,"Lakes","Adirondack lakes",43.78916667,-74.81277778,1984,1984,221435573.008406,219.914443065422,6.43461485239486,213.479828213027,164255.934509272,33,0.0688950589226789,3.41203703703704,0.500854700854701,0.606978879706152,0.741099091880342,"96",2.90909090909091,0.0881542699724518,0.0717016568072702
"Chub lake",14.2,"Lakes","Adirondack lakes",43.8325,-74.78722222,1984,1984,222787.692263852,162.888310918545,6.40125947519907,156.487051443346,0.525106016312319,34,0.144595000305299,2.84615384615385,0.0666666666666667,0.502668845315904,0.502668845315904,"62",1.82352941176471,0.0536332179930796,0.0402930402930403
